customer_name,highest_order_value
Jennifer Ferguson,1820.21
Victoria Wilson,1816.7
Jeremy Pistek,1816.36
Katherine Hughes,1814.68
Corey Catlett,1812.01
Dionis Lloyd,1801.63
John Dryer,1801.63
Kean Thornton,1799.97
Amy Cox,1793.98
Speros Goranitis,1782.17
Marc Crier,1771.52
Roger Barcio,1770.19
Greg Matthias,1769.78
Neoma Murray,1761.85
Amy Hunt,1757.85
Sanjit Jacobs,1749.9
Tamara Manning,1745.71
Rob Lucas,1745.4
Rick Duston,1745.36
Christopher Schild,1735.85
Nathan Cano,1729.29
John Stevenson,1717.97
Zuschuss Carroll,1716.16
Sara Luxemburg,1702.03
Lindsay Williams,1691.61
Paul Van Hugh,1687.26
Arianne Irving,1679.96
Brian Dahlen,1679.75
Michael Moore,1678.0
Claudia Bergmann,1672.31
Jack O'Briant,1671.93
Dave Poirier,1671.08
Michael Chen,1669.6
Mark Packer,1668.99
Barry Gonzalez,1664.13
Muhammed Yedwab,1661.03
Bobby Elias,1649.75
Ivan Liston,1645.87
Cynthia Arntzen,1639.71
Valerie Takahito,1636.36
Rose O'Brian,1635.02
Tracy Hopkins,1633.19
Dean Katz,1632.36
Anthony Rawles,1629.71
Eugene Barchas,1628.61
Joe Kamberova,1614.12
Jill Fjeld,1611.01
Lisa DeCherney,1609.32
Bill Overfelt,1604.73
Don Jones,1603.14
Michelle Arnett,1603.14
Maxwell Schwartz,1599.86
Tanja Norvell,1588.32
Gary Hansen,1584.87
Alan Hwang,1577.94
Robert Dilbeck,1577.94
Pamela Coakley,1573.49
David Bremer,1568.86
Edward Nazzal,1562.69
Art Ferguson,1562.09
Carlos Daly,1559.67
Olvera Toch,1556.69
John Lucas,1555.24
Sylvia Foulston,1542.47
Michelle Huthwaite,1541.51
Thea Hendricks,1537.54
Edward Becker,1522.64
Arthur Gainer,1520.38
Patrick Ryan,1520.15
Eva Jacobs,1517.05
Maureen Gastineau,1515.19
Frank Merwin,1507.94
Eugene Moren,1499.95
Phillip Flathmann,1489.72
Craig Molinari,1488.77
Allen Rosenblatt,1488.42
Maribeth Dona,1476.83
Aaron Smayling,1476.27
Ann Blume,1475.05
Tracy Poddar,1465.03
Karen Bern,1455.55
Denny Joy,1454.9
Christine Kargatis,1448.85
Jay Fein,1446.78
Dave Hallsten,1445.67
Erin Smith,1443.72
Frank Olsen,1441.3
Christy Brittain,1439.98
Pauline Webber,1433.19
Mike Caudle,1431.08
Mark Hamilton,1424.9
Deanra Eno,1423.34
Paul Knutson,1422.25
Pauline Johnson,1418.21
Mick Hernandez,1416.3
Alan Haines,1410.07
Dorothy Badders,1407.2
Stefanie Holloman,1403.92
Chris McAfee,1399.94
Shahid Hopkins,1395.67
Frank Preis,1384.92
Neola Schneider,1370.54
Tom Stivers,1367.84
Anthony Johnson,1365.63
Frank Atkinson,1365.48
Shahid Shariari,1363.67
Frank Hawley,1362.06
Stephanie Ulpright,1358.87
Sam Craven,1353.53
Sam Zeldin,1349.63
Neil Ducich,1347.52
Craig Leslie,1344.42
Ken Dana,1336.35
Dave Brooks,1326.69
Mike Gockenbach,1324.57
Trudy Schmidt,1322.75
Karen Carlisle,1319.96
Julia Barnett,1311.97
Harold Pawlan,1311.37
Matthew Grinstein,1310.34
Chad Cunningham,1308.2
Rob Haberlin,1305.81
Philip Fox,1302.83
Daniel Lacy,1299.99
Maris LaWare,1298.9
Valerie Mitchum,1294.75
Ed Braxton,1293.49
Jim Karlsson,1293.47
Gene Hale,1288.46
Toby Braunhardt,1287.45
Chris Selesnick,1287.26
Brendan Sweed,1280.99
Kristina Nunn,1278.16
Matt Collister,1273.62
Nat Carroll,1273.61
Richard Bierner,1272.7
Georgia Rosenberg,1271.42
Julia West,1270.38
Roland Schwarz,1261.33
Noel Staavos,1252.64
Nicole Hansen,1245.86
Nicole Fjeld,1242.9
Chloris Kastensmidt,1242.63
Ralph Kennedy,1238.33
Troy Staebel,1231.5
Ralph Arnett,1230.5
Steve Nguyen,1228.95
Rob Dowd,1220.67
Ed Jacobs,1219.79
Shaun Weien,1217.57
Ricardo Sperren,1217.38
Ruben Ausman,1215.92
Laurel Beltran,1215.72
Ben Peterman,1203.44
Eileen Kiefer,1198.33
Christina VanderZanden,1190.84
Darren Budd,1179.82
Michael Kennedy,1179.27
Michelle Ellison,1173.62
Shaun Chance,1173.03
Matt Abelman,1170.92
Dianna Vittorini,1170.72
Matt Hagelstein,1170.56
Adam Hart,1169.98
Tracy Zic,1167.3
Tamara Dahlen,1167.06
Kean Takahito,1166.72
Emily Grady,1165.33
Nancy Lomonaco,1158.88
Andrew Allen,1157.98
Monica Federle,1152.87
Fred Harton,1142.43
Trudy Glocke,1142.17
Dennis Kane,1137.4
Brian Thompson,1133.82
Cathy Hwang,1127.98
Bill Tyler,1126.83
Liz Willingham,1120.73
Rob Williams,1120.37
Stewart Visinsky,1119.15
Arthur Wiediger,1117.92
Steven Cartwright,1116.48
Michael Nguyen,1115.25
Nick Radford,1111.7
Joy Smith,1110.5
Becky Pak,1109.95
Elizabeth Moffitt,1107.68
Elpida Rittenbach,1106.92
Stuart Van,1102.47
Giulietta Dortch,1099.5
Alyssa Tate,1096.49
Jennifer Patt,1091.44
Carol Triggs,1091.35
Jack Lebron,1090.35
Adam Shillingsburg,1085.16
Logan Currie,1083.07
Don Miller,1082.15
Carl Ludwig,1081.69
Trudy Brown,1079.32
Gary Mitchum,1077.47
Lindsay Shagiari,1071.74
Rick Bensley,1064.62
Dan Lawera,1059.09
Cynthia Delaney,1058.27
Jenna Caffey,1058.11
Paul MacIntyre,1056.86
Toby Gnade,1054.93
Cari Sayre,1051.91
David Philippe,1050.6
Filia McAdams,1048.35
Janet Molinari,1045.21
Emily Burns,1044.63
Sheri Gordon,1044.63
Susan MacKendrick,1043.04
Jas O'Carroll,1038.84
Theresa Coyne,1038.26
Barry Französisch,1035.8
Dave Kipp,1030.74
Daniel Byrd,1027.68
Dean Braden,1024.64
Benjamin Patterson,1022.97
Anne Pryor,1018.3
Cathy Armstrong,1016.18
Ken Black,1015.82
Cynthia Voltz,1013.79
Pauline Chand,1011.7
Greg Guthrie,1007.94
Justin MacKendrick,1000.95
Nora Pelletier,999.98
Ruben Dartt,997.93
Saphhira Shifley,997.83
Candace McMahon,994.46
Claire Gute,993.9
Aaron Hawkins,991.26
Marc Harrigan,987.19
Sean O'Donnell,979.95
Brad Eason,979.63
Doug Bickford,979.1
Roy Phan,974.9
Arthur Prichep,968.3
Chris Cortes,962.41
Erica Bern,959.97
Craig Carreira,956.8
Janet Martin,954.9
Sarah Bern,954.55
Sally Hughsby,941.18
Andrew Gjertsen,937.61
Roland Fjeld,935.74
Patrick O'Donnell,935.15
Bruce Stewart,933.95
Damala Kotsonis,927.44
Maya Herman,926.44
Katharine Harms,921.23
Christine Sundaresam,919.49
Annie Zypern,918.97
Jason Gross,916.14
Christina Anderson,912.75
Michael Dominguez,909.12
Craig Reiter,904.9
Liz Thompson,904.13
Julie Kriz,900.08
Victor Preis,899.11
Kalyca Meade,896.38
Theresa Swint,896.31
Craig Yedwab,895.94
Ben Wallace,891.78
Justin Hirsh,887.97
Nick Zandusky,886.28
Scott Williamson,885.57
Jeremy Ellison,885.03
Duane Noonan,884.68
Barry Pond,883.32
Duane Benoit,878.82
Lena Cacioppo,874.8
Maribeth Yedwab,874.31
Darrin Van Huff,873.81
Chuck Clark,868.45
Katherine Ducich,867.74
Liz Carlisle,866.4
Mike Vittorini,863.93
Jocasta Rupert,863.88
Patrick Jones,860.07
James Lanier,850.92
Jamie Frazer,847.46
Brooke Gillingham,845.49
Shirley Jackson,840.0
Zuschuss Donatelli,839.94
Maureen Gnade,835.17
Bart Pistole,832.14
Meg O'Connel,830.24
Michelle Tran,823.73
Steve Carroll,821.94
Bradley Nguyen,821.22
Mick Brown,817.83
Evan Bailliet,817.8
Lisa Ryan,806.41
Mick Crebagga,803.96
Jessica Myrick,799.56
Michael Grace,796.43
Christina DeMoss,796.04
Dario Medina,795.41
Stephanie Phelps,787.04
Jill Stevenson,783.96
Chad McGuire,782.4
Benjamin Farhat,780.09
Nathan Gelder,779.16
Alex Russell,775.73
Ashley Jarboe,774.47
Steve Chapman,773.59
Tony Chapman,771.8
Thomas Brumley,767.21
Michelle Moray,765.63
Laurel Workman,765.49
Skye Norling,762.59
Bryan Spruell,760.8
Victoria Brennan,756.8
Troy Blackwell,754.45
Mary O'Rourke,754.21
Noah Childs,752.41
Janet Lee,751.98
Eugene Hildebrand,748.75
Patrick Gardner,744.15
Gene McClure,743.43
David Smith,740.09
Barry Franz,739.74
Max Engle,738.71
Jay Kimmel,737.2
Tony Sayre,732.31
Ritsa Hightower,732.16
Carlos Soltero,730.01
Patricia Hirasaki,729.65
Becky Castell,726.83
Henia Zydlo,723.92
Cyma Kinney,719.1
John Grady,718.95
Justin Ritter,717.12
Frank Gastineau,711.68
Ryan Akin,709.04
Xylona Preis,708.62
Alyssa Crouse,706.06
Aimee Bixby,705.56
John Castell,705.54
Cyra Reiten,702.84
Clytie Kelty,699.4
Katrina Bavinger,697.53
Magdelene Morse,692.5
Hallie Redmond,687.4
Cindy Chapman,686.4
Katrina Edelman,680.78
Bruce Degenhardt,675.06
Michelle Lonsdale,674.87
Matt Connell,674.06
Helen Andreada,671.93
Randy Bradley,670.38
Benjamin Venier,670.0
Steven Ward,663.96
Fred McMath,663.95
Max Ludwig,663.94
Dorris liebe,658.75
Tim Brockman,655.88
Ted Butterfield,655.09
Andy Gerbode,654.77
Darrin Sayre,654.24
Vicky Freymann,651.59
Beth Paige,651.5
Sonia Cooley,647.84
Liz MacKendrick,646.78
Darren Koutras,646.2
Laurel Elliston,641.96
Lena Hernandez,638.82
Charlotte Melton,638.68
Katherine Nockton,637.27
Raymond Messe,637.18
Sally Knutson,631.6
Giulietta Weimer,631.18
Odella Nelson,630.02
Ken Brennan,629.95
Mike Kennedy,629.86
Joni Blumstein,627.92
Russell D'Ascenzo,623.96
Marina Lichtenstein,617.12
Philip Brown,612.46
Adrian Hane,610.42
Vivek Sundaresam,610.31
Pamela Stobb,610.16
Ralph Ritter,608.55
Luke Schmidt,605.34
Peter Bühler,604.66
Jim Radford,604.1
Jennifer Jackson,601.5
Denny Blanton,601.44
Erin Ashbrook,599.99
Debra Catini,598.35
Nat Gilpin,594.5
Carl Weiss,592.74
Evan Henry,588.78
Michael Stewart,588.01
Helen Abelman,582.3
Brian DeCherney,582.07
Eric Murdock,572.8
Jesus Ocampo,570.49
Henry MacAllister,569.34
Toby Swindell,568.86
Corey-Lock,564.77
Aaron Bergman,563.94
Parhena Norris,563.94
Cindy Schnelling,562.29
Tony Molinari,558.81
Julie Prescott,558.24
Herbert Flentye,556.67
Jim Sink,552.86
Susan Vittorini,552.0
Maureen Fritzler,551.99
Charles Sheldon,551.04
Roger Demir,545.01
Catherine Glotzbach,538.02
Thomas Thornton,537.54
Sarah Jordon,536.86
Paul Gonzalez,536.36
Guy Armstrong,535.27
Carlos Meador,530.27
Eric Barreto,526.34
Shirley Schmidt,525.95
Todd Boyes,524.85
Liz Pelletier,524.62
Sean Wendt,523.18
Nona Balk,521.22
Eudokia Martin,520.03
Kelly Andreada,518.87
Allen Armold,513.52
Ross DeVincentis,512.37
Matthew Clasen,511.95
Karl Braun,510.82
Denise Leinenbach,508.11
Maurice Satty,498.93
Dorothy Wardle,498.49
Doug O'Connell,498.15
Patrick Bzostek,497.04
Christine Abelman,495.3
Logan Haushalter,492.28
Tiffany House,490.39
Bruce Geld,486.37
Alejandro Ballentine,479.98
Cari Schnelling,479.98
Bryan Mills,475.94
Chad Sievert,472.04
Harold Engle,469.66
Rachel Payne,467.65
Astrea Jones,460.22
Duane Huffman,460.09
Sibella Parks,459.95
Denny Ordway,459.43
Kimberly Carter,452.46
Mathew Reese,448.82
Maria Bertelson,448.45
David Wiener,448.42
Angele Hood,447.88
Delfina Latchford,442.5
Roy Französisch,440.16
Bobby Trafton,440.05
Mark Van Huff,436.6
Richard Eichhorn,435.54
Julie Creighton,435.13
Dennis Bolton,434.65
David Kendrick,433.56
Alice McCarthy,432.69
Scot Wooten,428.7
Tracy Collins,425.95
Paul Stevenson,425.06
George Bell,419.87
Brian Derr,419.73
Lynn Smith,414.63
Alan Barnes,413.94
Roy Collins,409.76
Brendan Murry,405.92
Erica Hernandez,405.46
Sung Shariari,403.11
Jim Mitchum,402.65
Joni Wasserman,400.39
Jonathan Howell,395.44
Beth Fritzler,388.7
Jennifer Braxton,387.99
Brad Thomas,384.86
Darren Powers,383.61
Maria Zettner,376.97
Julia Dunbar,375.71
Barry Blumstein,374.08
Ann Steele,372.45
Art Foster,372.29
Alan Shonely,370.78
Ivan Gibson,370.14
Harry Greene,364.39
Jeremy Farry,357.46
Matt Collins,353.88
Phillina Ober,344.37
Pete Armstrong,339.96
Sandra Flanagan,336.82
Corey Roper,334.68
Vivek Grady,331.54
Ryan Crowe,328.91
Barbara Fisher,328.54
Erica Hackney,328.0
Joy Bell-,327.73
Barry Weirich,324.74
Tim Taslimi,323.1
Anthony Witt,321.25
Carol Darley,318.96
Berenike Kampe,314.55
Neil Knudson,313.84
Chuck Sachs,311.96
Jason Fortune-,303.54
MaryBeth Skach,301.96
Michael Granlund,299.75
Erin Creighton,299.07
Evan Minnotte,298.12
Eric Hoffmann,296.67
Toby Ritter,278.4
Khloe Miller,273.93
Larry Hughes,271.96
Neil Französisch,269.98
Jason Klamczynski,269.59
Sung Chung,266.52
Muhammed MacIntyre,262.72
Joni Sundaresam,254.74
Lycoris Saunders,253.34
Alex Grayson,248.82
Aleksandra Gannaway,248.57
Lori Olson,247.44
Mark Haberlin,241.5
Kelly Williams,241.34
Bryan Davis,240.78
Melanie Seite,239.37
John Huston,228.92
Bart Folk,225.61
Andy Yotov,222.03
Vivek Gonzalez,211.17
Stuart Calhoun,206.33
Anna Chung,201.58
Larry Tron,201.58
Sonia Sunley,199.99
Rob Beeghly,199.73
Brad Norvell,192.42
Guy Phonely,191.62
Brendan Dodson,168.58
Erin Mull,165.94
Heather Jas,163.88
Vivian Mathis,162.52
Anthony O'Donnell,161.28
Don Weiss,158.28
Muhammed Lee,151.96
Nicole Brennan,143.95
Jennifer Halladay,141.0
Shui Tom,139.44
Chuck Magee,132.95
Joy Daniels,132.6
Michael Oakman,130.29
Allen Goldenen,129.33
Bobby Odegard,124.75
Hilary Holden,123.28
Harold Dahlen,122.05
Jill Matthias,121.09
Lisa Hazard,120.78
Joel Jenkins,119.96
Sally Matthias,117.7
Anthony Garverick,113.1
Dorothy Dickinson,109.62
Greg Hansen,106.02
Roland Murray,98.35
Guy Thornton,96.6
Robert Barroso,94.69
Pete Takahito,93.46
Andrew Roberts,89.97
Anemone Ratner,88.15
Ed Ludwig,86.62
Paul Lucas,83.98
Dianna Arnett,77.76
Phillip Breyer,69.93
Karen Seio,61.88
Clay Cheatham,55.49
Adrian Shami,54.64
Ricardo Emerson,48.36
Jasper Cacioppo,47.94
Fred Wasserman,43.6
Larry Blacks,26.72
Susan Gilcrest,19.65
Mitch Gastineau,16.74
Carl Jackson,16.52
Roy Skaria,12.68
Lela Donovan,5.3
Thais Sissman,2.81
