customer_name,total_sales,sales_rank
Tonja Turnell,5364.81,104
Mitch Webber,5341.9,105
Tom Prescott,5329.0,106
Tamara Willingham,5278.83,107
Dianna Wilson,5271.63,108
Mitch Willingham,5253.88,109
Harold Ryan,5248.79,110
Steven Cartwright,5226.21,111
Resi Pölking,5153.08,112
Lena Radford,5142.89,113
Mike Pelletier,5087.92,114
Anna Andreadi,5086.94,115
Ivan Liston,5040.74,116
Kelly Lampkin,5016.49,117
Laurel Beltran,4985.68,118
Dave Hallsten,4932.87,119
Irene Maddox,4930.47,120
Ted Trevino,4915.6,121
Kunst Miller,4909.47,122
Philisse Overcash,4893.04,123
Heather Kirkland,4877.78,124
Anthony Jacobs,4867.34,125
Joe Kamberova,4867.2,126
Alan Hwang,4805.34,127
Dean Katz,4802.39,128
Russell Applegate,4793.54,129
Sue Ann Reed,4767.34,130
Jim Kriz,4760.43,131
Bart Watters,4750.36,132
Tracy Blumstein,4737.49,133
Giulietta Baptist,4716.29,134
Rick Bensley,4715.47,135
Erin Smith,4657.92,136
Deborah Brumfield,4655.9,137
Kean Thornton,4642.09,138
Sample Company A,4624.57,139
Eugene Moren,4588.44,140
Dave Brooks,4531.65,141
Anthony Rawles,4523.34,142
Arthur Gainer,4510.8,143
Anthony Johnson,4501.39,144
Linda Cazamias,4492.95,145
Stewart Carmichael,4492.66,146
Theone Pippenger,4454.06,147
Mark Cousins,4432.14,148
Jamie Kunitz,4427.14,149
Katrina Willman,4416.52,150
Bradley Drucker,4411.24,151
Arianne Irving,4375.79,152
Scot Coram,4371.96,153
Ellis Ballard,4358.13,154
Gary Zandusky,4355.15,155
Steven Roelle,4345.89,156
Natalie DeCherney,4326.14,157
Matt Abelman,4299.16,158
Sung Pak,4282.94,159
Dana Kaydos,4282.18,160
Rick Duston,4272.93,161
Toby Carlisle,4266.81,162
Alan Schoenberger,4260.78,163
Frank Hawley,4256.27,164
Claudia Bergmann,4246.46,165
Tracy Hopkins,4234.1,166
Bill Eplett,4204.68,167
Jill Fjeld,4198.33,168
Gary Hwang,4172.85,169
Roland Schwarz,4159.77,170
Muhammed Yedwab,4152.7,171
Peter McVee,4115.66,172
Stewart Visinsky,4105.31,173
Denise Monton,4074.47,174
Frank Preis,4046.75,175
Susan Pistek,3990.69,176
Craig Molinari,3984.45,177
Michael Paige,3983.64,178
Sean Christensen,3979.07,179
Sanjit Jacobs,3949.66,180
Luke Foster,3930.51,181
Pierre Wener,3922.42,182
George Ashbrook,3919.78,183
Ken Heidel,3918.97,184
Chris Cortes,3913.42,185
Dorothy Badders,3908.8,186
Nora Paige,3908.4,187
Kelly Collister,3908.26,188
Fred Chung,3889.37,189
Bill Stewart,3887.83,190
John Stevenson,3868.02,191
Ruben Ausman,3832.31,192
Annie Thurman,3831.86,193
Olvera Toch,3818.62,194
Rose O'Brian,3815.48,195
Michael Chen,3805.71,196
Michael Moore,3794.08,197
Carol Adams,3789.72,198
Matthew Grinstein,3785.28,199
Maribeth Dona,3766.38,200
Jim Karlsson,3760.03,201
Juliana Krohn,3747.67,202
Frank Merwin,3736.2,203
Scott Cohen,3729.79,204
Hunter Glantz,3690.28,205
Ben Peterman,3675.86,206
Liz Preis,3653.4,207
Christopher Schild,3651.86,208
Ed Braxton,3644.98,209
Jeremy Pistek,3635.59,210
Sam Zeldin,3625.33,211
Rick Hansen,3621.38,212
Thomas Boland,3589.3,213
Gary McGarr,3582.82,214
Dionis Lloyd,3539.32,215
Erica Smith,3510.46,216
Robert Waldorf,3495.65,217
Anna Gayman,3489.04,218
Emily Ducich,3484.92,219
Pauline Webber,3454.92,220
Sarah Foster,3422.79,221
Frank Carlisle,3418.74,222
Sally Hughsby,3406.84,223
Sandra Glassco,3406.58,224
Trudy Schmidt,3368.09,225
Sam Craven,3362.96,226
Victoria Pisteka,3360.53,227
Doug Jacobs,3356.4,228
Dianna Vittorini,3341.59,229
Sylvia Foulston,3336.54,230
Dan Campbell,3336.17,231
Arthur Prichep,3323.56,232
Dennis Kane,3318.49,233
Katharine Harms,3312.86,234
Randy Ferguson,3309.15,235
Rick Reed,3302.26,236
Brian Dahlen,3288.47,237
Brian Stugart,3288.11,238
Rob Williams,3279.75,239
Daniel Lacy,3272.2,240
Damala Kotsonis,3256.48,241
Adam Shillingsburg,3255.31,242
Jack O'Briant,3254.95,243
Adam Hart,3250.34,244
Henry Goldwyn,3247.64,245
Lindsay Castell,3246.63,246
Carol Triggs,3241.9,247
Edward Becker,3236.31,248
Sharelle Roach,3233.48,249
Lindsay Williams,3230.31,250
Ricardo Sperren,3221.29,251
Alejandro Savely,3214.24,252
Mark Packer,3206.13,253
Christine Sundaresam,3202.16,254
Brian Thompson,3196.75,255
Deirdre Greer,3195.82,256
Jeremy Lonsdale,3173.87,257
Greg Matthias,3163.63,258
Janet Martin,3159.12,259
Chloris Kastensmidt,3154.86,260
Karen Bern,3152.62,261
Maxwell Schwartz,3144.68,262
Ruben Dartt,3133.92,263
Tanja Norvell,3130.22,264
Steve Nguyen,3127.96,265
Speros Goranitis,3124.83,266
Katherine Hughes,3100.61,267
Patrick Gardner,3086.91,268
Eugene Hildebrand,3082.65,269
Gary Mitchum,3078.62,270
Eugene Barchas,3071.13,271
Mike Gockenbach,3061.54,272
Toby Gnade,3058.37,273
Kean Takahito,3057.1,274
Shahid Shariari,3056.81,275
Sara Luxemburg,3053.01,276
Aaron Smayling,3050.69,277
Cynthia Arntzen,3041.57,278
Carlos Soltero,3036.55,279
Lindsay Shagiari,2988.67,280
Michelle Huthwaite,2984.95,281
Frank Atkinson,2984.05,282
David Bremer,2973.09,283
Noel Staavos,2964.82,284
Tamara Manning,2955.23,285
Christine Kargatis,2945.32,286
Thea Hudgings,2942.77,287
Liz Thompson,2936.25,288
Becky Castell,2933.68,289
Julie Kriz,2932.48,290
Shaun Weien,2921.54,291
Maris LaWare,2921.5,292
Rob Dowd,2912.89,293
Craig Yedwab,2900.03,294
Neil Ducich,2893.46,295
Meg Tillman,2890.14,296
Barry Französisch,2888.51,297
David Smith,2881.81,298
Paul Van Hugh,2876.05,299
Ionia McGrath,2872.63,300
Chuck Clark,2870.05,301
Craig Carroll,2854.12,302
Arthur Wiediger,2852.97,303
Erin Ashbrook,2846.71,304
Linda Southworth,2845.27,305
Darren Budd,2839.23,306
Justin MacKendrick,2833.93,307
Christina VanderZanden,2830.63,308
Troy Staebel,2820.42,309
Gary Hansen,2819.47,310
Barry Gonzalez,2798.95,311
Trudy Brown,2797.67,312
Robert Dilbeck,2786.63,313
John Castell,2772.06,314
Philip Fox,2770.0,315
Emily Burns,2767.22,316
Chris Selesnick,2754.22,317
Michelle Moray,2749.88,318
Ken Black,2744.74,319
Lauren Leatherbury,2741.2,320
Marc Crier,2725.98,321
John Lucas,2725.26,322
Marina Lichtenstein,2722.84,323
Jay Kimmel,2709.63,324
Justin Ellison,2697.25,325
Bradley Talbott,2684.49,326
Bill Overfelt,2682.73,327
Frank Olsen,2678.44,328
Nicole Hansen,2673.29,329
Richard Bierner,2663.09,330
Eva Jacobs,2656.69,331
Dave Kipp,2650.56,332
Christina Anderson,2648.29,333
Logan Currie,2633.58,334
Ralph Arnett,2617.91,335
Katherine Nockton,2617.27,336
Sean O'Donnell,2602.58,337
Stephanie Ulpright,2595.36,338
Helen Andreada,2584.16,339
Alejandro Grove,2582.9,340
Lena Cacioppo,2580.7,341
Steve Chapman,2576.41,342
Neola Schneider,2575.86,343
Beth Thompson,2567.66,344
Eleni McCrary,2567.01,345
Mary Zewe,2564.91,346
Bruce Stewart,2562.38,347
Deanra Eno,2550.87,348
Corey Catlett,2540.63,349
Ann Chong,2537.69,350
Charles McCrossin,2533.31,351
Herbert Flentye,2533.16,352
Fred McMath,2523.27,353
Julia Barnett,2518.12,354
Joy Smith,2516.49,355
Don Jones,2501.69,356
Amy Hunt,2495.39,357
Patrick O'Donnell,2493.21,358
Nick Zandusky,2488.31,359
Michael Nguyen,2477.95,360
Beth Paige,2475.16,361
Charles Crestani,2471.65,362
Nat Carroll,2461.4,363
Filia McAdams,2456.64,364
Mark Hamilton,2456.18,365
Brendan Sweed,2454.93,366
Valerie Mitchum,2454.87,367
George Zrebassa,2454.62,368
Michelle Arnett,2453.28,369
Bart Pistole,2442.04,370
Matt Collister,2426.07,371
Thea Hendricks,2422.82,372
Marc Harrigan,2394.03,373
David Flashing,2390.53,374
Xylona Preis,2374.66,375
Clytie Kelty,2372.75,376
Jennifer Ferguson,2371.45,377
Cynthia Voltz,2370.31,378
Nick Radford,2367.28,379
Jack Garza,2358.68,380
Andrew Gjertsen,2356.86,381
Craig Leslie,2353.59,382
Maureen Gastineau,2350.19,383
Roland Fjeld,2341.3,384
Elizabeth Moffitt,2339.6,385
Dean Braden,2332.58,386
Chris McAfee,2305.71,387
Michael Kennedy,2302.37,388
Lena Hernandez,2295.33,389
Kristina Nunn,2280.58,390
Jamie Frazer,2279.59,391
Fred Harton,2271.28,392
Craig Carreira,2269.7,393
Bobby Elias,2261.44,394
Kalyca Meade,2260.96,395
Matt Connell,2258.19,396
Justin Hirsh,2256.39,397
Maribeth Yedwab,2254.29,398
Ken Dana,2243.51,399
Tony Sayre,2243.27,400
Jason Gross,2240.58,401
Laurel Workman,2238.06,402
Allen Rosenblatt,2236.13,403
Greg Guthrie,2224.0,404
Nathan Cano,2218.99,405
Mick Crebagga,2218.98,406
Dave Poirier,2215.0,407
Phillip Flathmann,2206.13,408
Maya Herman,2203.78,409
Janet Lee,2203.7,410
Justin Ritter,2201.69,411
Edward Nazzal,2199.37,412
Toby Braunhardt,2198.45,413
Giulietta Weimer,2189.02,414
Bill Tyler,2186.61,415
Pamela Stobb,2181.48,416
Shahid Hopkins,2180.72,417
Kean Nguyen,2171.96,418
Daniel Byrd,2171.6,419
Roy Phan,2170.72,420
Theresa Swint,2163.62,421
Helen Abelman,2163.3,422
Ed Jacobs,2162.17,423
Neoma Murray,2161.98,424
John Dryer,2152.35,425
Clay Rozendal,2148.85,426
Duane Noonan,2139.79,427
Karen Carlisle,2120.95,428
Stefanie Holloman,2096.39,429
Liz Carlisle,2095.06,430
Rob Haberlin,2085.74,431
Trudy Glocke,2074.66,432
Max Ludwig,2071.91,433
Roger Barcio,2067.45,434
Tom Stivers,2054.14,435
Art Ferguson,2052.91,436
Carlos Daly,2033.97,437
Nicole Fjeld,2031.47,438
Denny Joy,2012.52,439
Victoria Brennan,2005.6,440
Harold Pawlan,1990.31,441
Doug Bickford,1989.05,442
Paul Gonzalez,1987.16,443
Nona Balk,1972.6,444
Scott Williamson,1966.65,445
Lisa DeCherney,1961.93,446
Christy Brittain,1949.2,447
Tracy Poddar,1936.64,448
Jas O'Carroll,1934.27,449
Jay Fein,1911.84,450
Max Engle,1908.45,451
Susan Vittorini,1903.49,452
Katherine Ducich,1888.96,453
Giulietta Dortch,1888.07,454
Sheri Gordon,1884.8,455
Lisa Ryan,1879.31,456
Shaun Chance,1875.0,457
Brooke Gillingham,1874.17,458
Stephanie Phelps,1872.44,459
Nat Gilpin,1869.58,460
Cynthia Delaney,1860.73,461
Skye Norling,1860.42,462
Patrick Ryan,1840.18,463
Ashley Jarboe,1839.24,464
Pamela Coakley,1832.06,465
Emily Grady,1832.02,466
Pauline Johnson,1824.23,467
Noah Childs,1821.74,468
Janet Molinari,1804.15,469
Jennifer Braxton,1791.61,470
Andrew Allen,1790.51,471
Chad Cunningham,1770.95,472
Darrin Sayre,1762.21,473
Monica Federle,1758.3,474
Aaron Hawkins,1744.7,475
Logan Haushalter,1739.69,476
Ben Wallace,1738.41,477
Valerie Takahito,1736.6,478
Adrian Hane,1735.51,479
Mike Vittorini,1734.57,480
Jessica Myrick,1733.44,481
Brad Eason,1727.65,482
Denny Blanton,1711.69,483
Julie Prescott,1707.71,484
Tracy Zic,1707.29,485
Becky Pak,1697.86,486
Darren Koutras,1687.04,487
Meg O'Connel,1687.03,488
Ryan Akin,1686.92,489
Katrina Edelman,1686.73,490
Cathy Armstrong,1679.72,491
Candace McMahon,1673.89,492
Jennifer Patt,1669.14,493
Chad McGuire,1661.61,494
Cindy Chapman,1659.44,495
Erica Bern,1643.26,496
Anne Pryor,1638.55,497
Annie Zypern,1622.02,498
Maurice Satty,1613.4,499
Tim Brockman,1602.38,500
Craig Reiter,1600.55,501
Alan Haines,1587.45,502
Benjamin Farhat,1585.16,503
Cyma Kinney,1582.11,504
Mike Caudle,1582.0,505
James Lanier,1571.52,506
Karl Braun,1569.46,507
George Bell,1568.44,508
Odella Nelson,1567.52,509
Mark Van Huff,1560.05,510
Maria Bertelson,1548.7,511
Brian DeCherney,1538.11,512
Cathy Hwang,1537.24,513
Bruce Degenhardt,1526.5,514
Benjamin Venier,1523.27,515
Kelly Andreada,1519.51,516
Ann Blume,1515.86,517
John Grady,1507.02,518
Dan Lawera,1503.11,519
Zuschuss Donatelli,1493.94,520
Charlotte Melton,1475.14,521
Laurel Elliston,1469.45,522
Ted Butterfield,1467.88,523
Parhena Norris,1467.15,524
Ralph Kennedy,1460.19,525
Bradley Nguyen,1459.34,526
Delfina Latchford,1458.26,527
Philip Brown,1456.95,528
Andy Gerbode,1455.04,529
Raymond Messe,1453.47,530
Paul Knutson,1441.15,531
Tamara Dahlen,1434.55,532
Julia West,1428.73,533
Mick Brown,1428.23,534
Thomas Thornton,1427.04,535
Christine Abelman,1421.95,536
Roger Demir,1419.74,537
Nancy Lomonaco,1418.09,538
Jill Stevenson,1417.65,539
Paul MacIntyre,1405.4,540
Guy Armstrong,1398.38,541
Cyra Reiten,1397.87,542
Nathan Gelder,1395.94,543
Jeremy Ellison,1388.68,544
Troy Blackwell,1387.56,545
Frank Gastineau,1383.14,546
Don Miller,1376.79,547
Gene Hale,1361.24,548
Sarah Bern,1348.02,549
Liz MacKendrick,1346.77,550
Maureen Gnade,1342.28,551
Sarah Jordon,1341.04,552
Bryan Mills,1338.84,553
Barry Franz,1333.88,554
Saphhira Shifley,1324.03,555
Dario Medina,1322.03,556
Michelle Tran,1319.45,557
Shirley Jackson,1318.78,558
Magdelene Morse,1314.02,559
Sibella Parks,1306.09,560
Matt Collins,1303.89,561
Eileen Kiefer,1303.48,562
Corey-Lock,1300.08,563
Denny Ordway,1300.03,564
Hallie Redmond,1299.29,565
Georgia Rosenberg,1284.38,566
Cari Sayre,1278.95,567
Paul Stevenson,1278.64,568
Stuart Van,1271.09,569
Doug O'Connell,1267.32,570
Carl Ludwig,1262.01,571
Liz Willingham,1259.04,572
Michelle Ellison,1256.94,573
Gene McClure,1255.68,574
Steve Carroll,1254.64,575
Matt Hagelstein,1252.8,576
Elpida Rittenbach,1245.79,577
Tony Chapman,1244.98,578
Joni Wasserman,1244.09,579
Michael Grace,1242.83,580
Nora Pelletier,1228.7,581
Patrick Jones,1220.09,582
Erica Hernandez,1219.53,583
Jack Lebron,1214.96,584
Christina DeMoss,1205.58,585
Michael Dominguez,1204.91,586
Dorothy Wardle,1204.85,587
Evan Bailliet,1186.33,588
Benjamin Patterson,1181.49,589
Debra Catini,1174.62,590
Alyssa Tate,1171.81,591
Jim Radford,1156.66,592
Duane Benoit,1155.2,593
Claire Gute,1148.78,594
Kimberly Carter,1146.05,595
Ross DeVincentis,1137.62,596
Carl Weiss,1136.59,597
Jim Sink,1131.06,598
Darrin Van Huff,1119.48,599
Alan Barnes,1113.84,600
Tony Molinari,1094.68,601
Jesus Ocampo,1090.84,602
Scot Wooten,1085.08,603
Jeremy Farry,1082.92,604
Dennis Bolton,1081.47,605
David Wiener,1080.75,606
Cindy Schnelling,1077.23,607
Pauline Chand,1061.49,608
David Philippe,1058.62,609
Jenna Caffey,1058.11,610
Phillina Ober,1056.86,611
Allen Armold,1056.39,612
Vivek Sundaresam,1055.98,613
Alex Russell,1055.69,614
Darren Powers,1050.64,615
Duane Huffman,1043.1,616
Susan MacKendrick,1043.04,617
Eudokia Martin,1041.04,618
Theresa Coyne,1038.26,619
Mike Kennedy,1031.6,620
Tiffany House,1022.2,621
Sean Wendt,1019.04,622
Luke Schmidt,1010.26,623
Randy Bradley,1008.2,624
Lynn Smith,1008.14,625
Bruce Geld,1006.36,626
Victor Preis,993.9,627
Ken Brennan,983.92,628
Barry Pond,983.42,629
Toby Swindell,974.78,630
Russell D'Ascenzo,970.94,631
Aimee Bixby,966.71,632
Roy Collins,966.41,633
Sung Shariari,964.64,634
Jonathan Howell,959.48,635
Jason Fortune-,955.12,636
Rachel Payne,954.65,637
Bryan Spruell,949.43,638
Roy Französisch,945.22,639
Eric Barreto,944.6,640
Maureen Fritzler,937.04,641
Eric Murdock,933.7,642
Alyssa Crouse,925.8,643
Evan Henry,923.88,644
Mary O'Rourke,922.49,645
Alejandro Ballentine,914.53,646
Katrina Bavinger,908.82,647
Catherine Glotzbach,904.47,648
Sonia Cooley,902.73,649
Joni Blumstein,900.55,650
Henia Zydlo,886.52,651
Aaron Bergman,886.16,652
Ryan Crowe,885.75,653
Chad Sievert,884.64,654
Harold Engle,883.53,655
Sally Knutson,883.41,656
Richard Eichhorn,876.7,657
Jim Mitchum,864.95,658
Jocasta Rupert,863.88,659
Art Foster,861.57,660
Julie Creighton,858.58,661
Michael Stewart,855.12,662
Vicky Freymann,847.94,663
Vivek Gonzalez,846.01,664
Charles Sheldon,844.46,665
Todd Boyes,834.33,666
Ann Steele,833.4,667
Erica Hackney,825.95,668
Thomas Brumley,816.17,669
Alice McCarthy,814.01,670
Brendan Murry,808.16,671
David Kendrick,797.83,672
Matthew Clasen,795.15,673
Beth Fritzler,791.99,674
Harry Greene,785.63,675
Michael Granlund,776.38,676
Muhammed MacIntyre,775.41,677
Sandra Flanagan,763.55,678
Steven Ward,758.7,679
Liz Pelletier,756.61,680
Dorris liebe,755.6,681
Ivan Gibson,744.57,682
Barry Blumstein,744.34,683
Tracy Collins,742.56,684
Michelle Lonsdale,742.08,685
Ritsa Hightower,740.38,686
Patrick Bzostek,740.36,687
Angele Hood,738.5,688
Henry MacAllister,736.28,689
Patricia Hirasaki,729.65,690
Pete Armstrong,729.41,691
Jennifer Jackson,709.18,692
Julia Dunbar,695.44,693
Peter Bühler,688.32,694
Eric Hoffmann,684.17,695
Toby Ritter,675.94,696
Alex Grayson,660.97,697
Berenike Kampe,659.14,698
Bryan Davis,658.47,699
Anna Chung,657.32,700
Anthony Witt,649.38,701
Lori Olson,644.35,702
Joy Bell-,644.12,703
Carol Darley,639.77,704
Mathew Reese,639.18,705
Astrea Jones,629.25,706
Ralph Ritter,615.93,707
Shirley Schmidt,613.4,708
Bobby Trafton,603.88,709
Barbara Fisher,599.8,710
Maria Zettner,593.61,711
Denise Leinenbach,585.02,712
Alan Shonely,584.61,713
Brian Derr,582.65,714
Neil Knudson,572.05,715
Carlos Meador,565.39,716
Chuck Sachs,550.64,717
Cari Schnelling,537.63,718
John Huston,528.91,719
Rob Beeghly,528.55,720
Andy Yotov,497.01,721
Corey Roper,475.9,722
MaryBeth Skach,475.66,723
Joni Sundaresam,469.17,724
Erin Creighton,461.91,725
Khloe Miller,453.54,726
Kelly Williams,449.1,727
Tim Taslimi,439.5,728
Shui Tom,433.34,729
Vivek Grady,427.37,730
Sonia Sunley,418.49,731
Brad Thomas,415.2,732
Mark Haberlin,400.02,733
Barry Weirich,385.52,734
Joy Daniels,385.43,735
Jason Klamczynski,383.81,736
Vivian Mathis,380.69,737
Neil Französisch,377.16,738
Melanie Seite,370.35,739
Lycoris Saunders,368.88,740
Aleksandra Gannaway,367.55,741
Evan Minnotte,366.82,742
Heather Jas,358.1,743
Don Weiss,344.08,744
Larry Tron,329.88,745
Brendan Dodson,320.54,746
Lisa Hazard,318.24,747
Jennifer Halladay,309.28,748
Jill Matthias,303.95,749
Chuck Magee,287.99,750
Larry Hughes,287.43,751
Sung Chung,280.63,752
Stuart Calhoun,279.26,753
Nicole Brennan,273.87,754
Bart Folk,272.95,755
Dorothy Dickinson,269.54,756
Brad Norvell,265.3,757
Andrew Roberts,264.86,758
Harold Dahlen,251.36,759
Sally Matthias,244.49,760
Paul Lucas,239.48,761
Guy Phonely,236.53,762
Erin Mull,228.99,763
Guy Thornton,226.44,764
Robert Barroso,221.08,765
Hilary Holden,218.67,766
Allen Goldenen,200.95,767
Joel Jenkins,195.0,768
Anthony Garverick,170.58,769
Muhammed Lee,162.23,770
Anthony O'Donnell,161.28,771
Pete Takahito,160.57,772
Dianna Arnett,156.76,773
Michael Oakman,154.29,774
Greg Hansen,146.94,775
Phillip Breyer,132.74,776
Bobby Odegard,130.83,777
Ed Ludwig,124.28,778
Clay Cheatham,113.83,779
Roland Murray,98.35,780
Karen Seio,88.47,781
Anemone Ratner,88.15,782
Fred Wasserman,79.75,783
Jasper Cacioppo,71.26,784
Adrian Shami,58.82,785
Larry Blacks,50.19,786
Ricardo Emerson,48.36,787
Susan Gilcrest,47.95,788
Roy Skaria,22.33,789
Mitch Gastineau,16.74,790
Carl Jackson,16.52,791
Lela Donovan,5.3,792
Thais Sissman,4.83,793
