customer_id,customer_name,total_sales
BP-11185,Ben Peterman,3675.86
LP-17095,Liz Preis,3653.4
CS-12400,Christopher Schild,3651.86
EB-13705,Ed Braxton,3644.98
JP-15520,Jeremy Pistek,3635.59
SZ-20035,Sam Zeldin,3625.33
RH-19495,Rick Hansen,3621.38
TB-21175,Thomas Boland,3589.3
GM-14440,Gary McGarr,3582.82
DL-13495,Dionis Lloyd,3539.32
ES-14020,Erica Smith,3510.46
RW-19690,Robert Waldorf,3495.65
AG-10675,Anna Gayman,3489.04
ED-13885,Emily Ducich,3484.92
PW-19030,Pauline Webber,3454.92
SF-20200,Sarah Foster,3422.79
FC-14245,Frank Carlisle,3418.74
SH-19975,Sally Hughsby,3406.84
SG-20080,Sandra Glassco,3406.58
TS-21655,Trudy Schmidt,3368.09
SC-20020,Sam Craven,3362.96
VP-21760,Victoria Pisteka,3360.53
DJ-13630,Doug Jacobs,3356.4
DV-13465,Dianna Vittorini,3341.59
SF-20965,Sylvia Foulston,3336.54
DC-12850,Dan Campbell,3336.17
AP-10915,Arthur Prichep,3323.56
DK-13375,Dennis Kane,3318.49
KH-16330,Katharine Harms,3312.86
RF-19345,Randy Ferguson,3309.15
RR-19525,Rick Reed,3302.26
BD-11605,Brian Dahlen,3288.47
BS-11665,Brian Stugart,3288.11
RW-19630,Rob Williams,3279.75
DL-12925,Daniel Lacy,3272.2
DK-12835,Damala Kotsonis,3256.48
AS-10090,Adam Shillingsburg,3255.31
JO-15145,Jack O'Briant,3254.95
AH-10075,Adam Hart,3250.34
HG-14965,Henry Goldwyn,3247.64
LC-16960,Lindsay Castell,3246.63
CT-11995,Carol Triggs,3241.9
EB-13750,Edward Becker,3236.31
SR-20425,Sharelle Roach,3233.48
LW-16990,Lindsay Williams,3230.31
RS-19420,Ricardo Sperren,3221.29
AS-10285,Alejandro Savely,3214.24
MP-17470,Mark Packer,3206.13
CS-12355,Christine Sundaresam,3202.16
BT-11680,Brian Thompson,3196.75
DG-13300,Deirdre Greer,3195.82
JL-15505,Jeremy Lonsdale,3173.87
GM-14680,Greg Matthias,3163.63
JM-15250,Janet Martin,3159.12
CK-12205,Chloris Kastensmidt,3154.86
KB-16240,Karen Bern,3152.62
MS-17770,Maxwell Schwartz,3144.68
RD-19900,Ruben Dartt,3133.92
TN-21040,Tanja Norvell,3130.22
SN-20710,Steve Nguyen,3127.96
SG-20605,Speros Goranitis,3124.83
KH-16360,Katherine Hughes,3100.61
PG-18820,Patrick Gardner,3086.91
EH-14125,Eugene Hildebrand,3082.65
GM-14455,Gary Mitchum,3078.62
EB-14110,Eugene Barchas,3071.13
MG-18145,Mike Gockenbach,3061.54
TG-21310,Toby Gnade,3058.37
KT-16465,Kean Takahito,3057.1
SS-20410,Shahid Shariari,3056.81
SL-20155,Sara Luxemburg,3053.01
AS-10045,Aaron Smayling,3050.69
CA-12775,Cynthia Arntzen,3041.57
CS-11950,Carlos Soltero,3036.55
LS-16975,Lindsay Shagiari,2988.67
MH-18025,Michelle Huthwaite,2984.95
FA-14230,Frank Atkinson,2984.05
DB-13120,David Bremer,2973.09
NS-18640,Noel Staavos,2964.82
TM-21010,Tamara Manning,2955.23
CK-12325,Christine Kargatis,2945.32
TH-21115,Thea Hudgings,2942.77
LT-17110,Liz Thompson,2936.25
BC-11125,Becky Castell,2933.68
JK-16120,Julie Kriz,2932.48
SW-20455,Shaun Weien,2921.54
ML-17410,Maris LaWare,2921.5
RD-19585,Rob Dowd,2912.89
CY-12745,Craig Yedwab,2900.03
