customer_id,customer_name,email,registration_date,customer_type
CUST00047,Nisha Fischer,nisha.fischer73@mailbox.net,2024-12-01,REGULAR
CUST00048,Rohan Bose,rohan.bose85@shopmail.org,2025-10-04,VIP
CUST00049,Tara Larsen,tara.larsen34@inbox.co,2025-04-02,REGULAR
CUST00050,Elena Blake,elena.blake97@example.com,2025-06-20,REGULAR
CUST00051,Cleo Tanaka,cleo.tanaka10@,2024-11-11,REGULAR
CUST00052,Arjun Dupont,arjun.dupont32@shopmail.org,2024-10-10,REGULAR
CUST00053,Leo Rossi,leo.rossi79@example.com,2025-06-06,PREMIUM
CUST00054,Alice Muller,alice.muller18@shopmail.org,2024-11-15,REGULAR
CUST00055,Vivaan Kim,vivaan.kim35@shopmail.org,2025-01-07,REGULAR
CUST00056,Freya Gill,freya.gill65@inbox.co,2025-04-28,REGULAR
CUST00057,Meera Bose,meera.bose36@example.com,2025-10-08,REGULAR
CUST00058,Arjun Novak,arjun.novak95@inbox.co,2025-01-13,REGULAR
CUST00059,Maya Kim,maya.kim15@example.com,2024-08-10,VIP
CUST00060,Sara Rossi,sara.rossi48@mailbox.net,2024-09-06,REGULAR
CUST00061,Rohan Muller,rohan.muller6@shopmail.org,2025-08-09,REGULAR
CUST00062,Nisha Reddy,nisha.reddy72@inbox.co,2025-07-29,VIP
CUST00063,Sara Haddad,sara.haddad23@inbox.co,2025-01-14,REGULAR
CUST00064,Freya Grant,freya.grant35@mailbox.net,2025-04-12,PREMIUM
CUST00065,Vivaan Weber,vivaan.weber61@mailbox.net,2024-09-09,REGULAR
CUST00066,Ruby Dupont,ruby.dupont30@mailbox.net,2025-06-09,REGULAR
CUST00067,Dev Fischer,dev.fischer36@example.com,2025-07-03,VIP
CUST00068,Lena Dupont,lena.dupont52@shopmail.org,2026-01-04,VIP
CUST00069,Diya Novak,diya.novak75@shopmail.org,2025-01-30,REGULAR
CUST00070,Milo Sullivan,milo.sullivan94@shopmail.org,2025-07-20,REGULAR
CUST00071,Adam Kapoor,adam.kapoor74@mailbox.net,2025-08-30,REGULAR
CUST00072,Maya Sharma,maya.sharma69@mailbox.net,2026-01-15,REGULAR
CUST00073,Kabir Sokolov,kabir.sokolov41@example.com,2026-05-01,PREMIUM
CUST00074,Elena Vaughn,elena.vaughn86@inbox.co,2025-06-13,REGULAR
CUST00075,Marcus Kim,marcus.kim25@inbox.co,2024-12-09,PREMIUM
CUST00076,Noah Joshi,noah.joshi73@shopmail.org,2026-04-23,REGULAR
CUST00077,Aarav Muller,aarav.muller27@inbox.co,2025-05-21,PREMIUM
CUST00078,Milo Larsen,milo.larsen57@inbox.co,2025-11-20,PREMIUM
CUST00079,Adam Mercer,adam.mercer85@example.com,2025-01-21,REGULAR
CUST00080,Cleo Sokolov,cleo.sokolov97@mailbox.net,2024-11-04,PREMIUM
CUST00081,Yash Dutta,yash.dutta4@example.com,2024-12-29,REGULAR
CUST00082,Ethan Khan,ethan.khan54@mailbox.net,2025-11-10,PREMIUM
CUST00083,Noah Quinn,noah.quinn32@mailbox.net,2025-09-14,PREMIUM
CUST00084,Aarav Reddy,aarav.reddy29@mailbox.net,2025-10-10,PREMIUM
CUST00085,Iris Blake,iris.blake72@mailbox.net,2024-09-21,VIP
CUST00086,Diya Blake,diya.blake60@shopmail.org,2024-12-15,VIP
CUST00087,Leo Vaughn,leo.vaughn71@inbox.co,2025-10-11,PREMIUM
CUST00088,Ethan Ford,ethan.ford97@mailbox.net,2025-04-23,PREMIUM
CUST00089,Lena Hale,lena.hale81@mailbox.net,2025-12-10,REGULAR
CUST00090,Kabir Petrova,kabir.petrova35@shopmail.org,2025-03-29,REGULAR
CUST00091,Jonas Bose,jonas.bose20@mailbox.net,2024-12-20,REGULAR
CUST00092,Sara Gill,sara.gill54@inbox.co,2024-10-05,REGULAR
CUST00093,Ruby Grant,ruby.grant27@inbox.co,2024-10-03,REGULAR
CUST00094,Wren Patel,wren.patel49@inbox.co,2026-03-13,REGULAR
CUST00095,Ivan Muller,ivan.muller54@mailbox.net,2025-09-04,REGULAR
CUST00096,Lena Sullivan,lena.sullivan4@inbox.co,2025-12-11,REGULAR
CUST00097,Zara Verma,zara.verma17@example.com,2025-11-22,VIP
CUST00098,Wren Tanaka,wren.tanaka11@inbox.co,2024-08-28,REGULAR
CUST00099,Ruby Joshi,ruby.joshi34@inbox.co,2024-09-21,REGULAR
CUST00100,Ruby Larsen,ruby.larsen98@inbox.co,2025-07-12,REGULAR
CUST00101,Felix Novak,felix.novak61@example.com,2024-10-23,PREMIUM
CUST00102,Meera Dupont,meera.dupont84@example.com,2025-03-18,PREMIUM
CUST00103,Rohan Patel,rohan.patel26@example.com,2025-04-11,PREMIUM
CUST00104,Nisha Mehta,nisha.mehta86@example.com,2025-11-28,REGULAR
CUST00105,Tara Blake,tara.blake99@shopmail.org,2025-04-20,REGULAR
CUST00106,Milo Kapoor,milo.kapoor40@example.com,2025-01-15,REGULAR
CUST00107,Elena Tanaka,elena.tanaka51@mailbox.net,2025-08-20,REGULAR
CUST00108,Nisha Reddy,nisha.reddy88@example.com,2025-06-05,PREMIUM
CUST00109,Victor Nair,victor.nair69@inbox.co,2025-07-22,PREMIUM
CUST00110,Kabir Vaughn,kabir.vaughn2@inbox.co,2025-07-16,PREMIUM
CUST00111,Vivaan Sullivan,vivaan.sullivan82@inbox.co,2025-08-06,PREMIUM
CUST00112,Maya Joshi,maya.joshi84@shopmail.org,2026-01-17,REGULAR
CUST00113,Jonas Mercer,jonas.mercer56@shopmail.org,2025-11-20,REGULAR
CUST00114,Nisha Bose,nisha.bose58@mailbox.net,2025-05-13,PREMIUM
CUST00115,Victor Weber,victor.weber4@inbox.co,2025-07-11,PREMIUM
CUST00116,Priya Quinn,priya.quinn46@shopmail.org,2025-03-06,REGULAR
CUST00117,Milo Cole,milo.cole2@mailbox.net,2026-02-21,REGULAR
CUST00118,Felix Quinn,felix.quinn98@mailbox.net,2026-02-20,PREMIUM
CUST00119,Nora Ford,nora.ford12@shopmail.org,2024-08-18,REGULAR
CUST00120,Nisha Muller,nisha.muller48@inbox.co,2026-03-19,REGULAR
CUST00121,Ivan Sullivan,ivan.sullivan43@shopmail.org,2026-02-15,PREMIUM
CUST00122,Lena Muller,lena.muller30@example.com,2025-04-15,PREMIUM
CUST00123,Hugo Kapoor,hugo.kapoor98@mailbox.net,2026-01-31,REGULAR
CUST00124,Ethan Cole,ethan.cole98@shopmail.org,2026-03-27,VIP
CUST00125,Dev Petrova,dev.petrova47@mailbox.net,2025-03-21,REGULAR
CUST00126,Jonas Mehta,jonas.mehta6@example.com,2025-05-08,REGULAR
CUST00127,Arjun Quinn,arjun.quinn2@shopmail.org,2024-11-14,REGULAR
CUST00128,Leo Sokolov,leo.sokolov7@shopmail.org,2025-02-05,VIP
CUST00129,Ethan Kapoor,ethan.kapoor52@inbox.co,2024-10-06,REGULAR
CUST00130,Meera Rao,meera.rao73@shopmail.org,2024-12-31,REGULAR
CUST00131,Nisha Kapoor,nisha.kapoor98@inbox.co,2026-02-23,REGULAR
CUST00132,Cleo Bhatt,cleo.bhatt49@inbox.co,2026-01-18,VIP
CUST00133,Elena Costa,elena.costa40@example.com,2025-10-14,REGULAR
CUST00134,Vivaan Gill,vivaan.gill28@shopmail.org,2026-05-03,PREMIUM
CUST00135,Neel Haddad,neel.haddad71@example.com,2025-01-25,REGULAR
CUST00136,Felix Ford,felix.ford61@shopmail.org,2026-04-01,REGULAR
CUST00137,Marcus Petrova,marcus.petrova10@mailbox.net,2025-11-08,VIP
CUST00138,Wren Dutta,wren.dutta15@mailbox.net,2025-10-10,PREMIUM
CUST00139,Lena Rao,lena.rao8@mailbox.net,2024-10-13,PREMIUM
CUST00140,Milo Tanaka,milo.tanaka57@example.com,2025-05-23,REGULAR
CUST00141,Elena Fischer,elena.fischer65@inbox.co,2025-05-06,REGULAR
CUST00142,Milo Nair,milo.nair95@shopmail.org,2025-10-17,REGULAR
CUST00143,Ananya Bose,ananya.bose87@example.com,2025-03-23,VIP
CUST00144,Lena Tanaka,lena.tanaka98@mailbox.net,2024-09-11,REGULAR
CUST00145,Leo Cole,leo.cole75@inbox.co,2025-02-02,PREMIUM
CUST00146,Nora Bose,nora.bose45@inbox.co,2025-11-25,REGULAR
CUST00147,Vivaan Verma,vivaan.verma53@inbox.co,2025-07-04,REGULAR
CUST00148,Zara Kim,zara.kim59@example.com,2024-09-07,REGULAR
CUST00149,Hugo Kapoor,hugo.kapoor66@example.com,2025-09-18,PREMIUM
CUST00150,Jonas Blake,jonas.blake7@mailbox.net,2025-09-28,REGULAR
CUST00151,Cleo Quinn,cleo.quinn57@example.com,2026-05-03,REGULAR
CUST00152,Alice Mehta,alice.mehta57@inbox.co,2025-05-22,REGULAR
CUST00153,Milo Haddad,milo.haddad40@example.com,2025-01-10,REGULAR
CUST00154,Isha Bhatt,isha.bhatt60@example.com,2024-11-25,PREMIUM
CUST00155,Sara Quinn,sara.quinn66@shopmail.org,2025-05-26,REGULAR
CUST00156,Ethan Mercer,ethan.mercer59@mailbox.net,2025-04-07,REGULAR
CUST00157,Milo Vaughn,milo.vaughn9@shopmail.org,2024-12-18,PREMIUM
CUST00158,Felix Sokolov,felix.sokolov35@example.com,2026-01-02,REGULAR
CUST00159,Elena Costa,elena.costa85@inbox.co,2026-03-17,PREMIUM
CUST00160,Leo Rossi,leo.rossi45@shopmail.org,2025-12-09,REGULAR
CUST00161,Jonas Weber,jonas.weber42@mailbox.net,2025-11-10,VIP
CUST00162,Nisha Tanaka,nisha.tanaka30@inbox.co,2025-08-28,REGULAR
CUST00163,Ethan Weber,ethan.weber85@mailbox.net,2025-08-31,REGULAR
CUST00164,Rohan Mehta,rohan.mehta76@shopmail.org,2025-12-28,PREMIUM
CUST00165,Leo Reddy,leo.reddy59@example.com,2026-01-21,PREMIUM
CUST00166,Felix Rao,felix.rao61@shopmail.org,2024-10-16,REGULAR
CUST00167,Zara Bose,zara.bose87@inbox.co,2025-07-03,VIP
CUST00168,Nora Rossi,nora.rossi80@example.com,2024-09-06,REGULAR
CUST00169,Marcus Bhatt,marcus.bhatt56@example.com,2024-11-01,PREMIUM
CUST00170,Vivaan Ford,vivaan.ford89@shopmail.org,2025-01-18,VIP
CUST00171,Rohan Larsen,rohan.larsen38@shopmail.org,2024-09-27,REGULAR
CUST00172,Sara Haddad,sara.haddad53@mailbox.net,2026-01-26,REGULAR
CUST00173,Isha Weber,isha.weber88@mailbox.net,2026-04-27,REGULAR
CUST00174,Wren Rao,wren.rao60@shopmail.org,2025-03-26,REGULAR
CUST00175,Aarav Blake,aarav.blake87@mailbox.net,2025-05-22,REGULAR
CUST00176,Ivan Costa,ivan.costa82@inbox.co,2025-06-03,PREMIUM
CUST00177,Ruby Muller,ruby.muller50@inbox.co,2025-02-20,REGULAR
CUST00178,Noah Tanaka,noah.tanaka74@shopmail.org,2025-08-03,VIP
CUST00179,Marcus Patel,marcus.patel36@example.com,2025-09-10,REGULAR
CUST00180,Meera Quinn,meera.quinn30@shopmail.org,2025-05-21,REGULAR
CUST00181,Dev Novak,dev.novak81@example.com,2024-12-19,VIP
CUST00182,Rohan Muller,rohan.muller5@shopmail.org,2025-10-26,PREMIUM
CUST00183,Isha Petrova,isha.petrova96@inbox.co,2025-07-01,REGULAR
CUST00184,Arjun Rossi,arjun.rossi68@shopmail.org,2025-08-10,PREMIUM
CUST00185,Omar Mercer,omar.mercer96@shopmail.org,2025-05-30,PREMIUM
CUST00186,Ruby Khan,ruby.khan97@mailbox.net,2024-12-23,PREMIUM
CUST00187,Zara Kim,zara.kim12@inbox.co,2025-08-10,REGULAR
CUST00188,Jonas Kapoor,jonas.kapoor48@shopmail.org,2025-11-09,REGULAR
CUST00189,Chloe Reddy,chloe.reddy61@example.com,2025-03-28,REGULAR
CUST00190,Alice Larsen,alice.larsen29@example.com,2026-04-17,PREMIUM
CUST00191,Ruby Muller,ruby.muller15@mailbox.net,2025-09-23,REGULAR
CUST00192,Rohan Muller,rohan.muller15@example.com,2025-12-18,REGULAR
CUST00193,Jonas Mehta,jonas.mehta59@shopmail.org,2025-09-02,PREMIUM
CUST00194,Jonas Grant,jonas.grant96@mailbox.net,2026-03-25,PREMIUM
CUST00195,Vivaan Quinn,vivaan.quinn53@shopmail.org,2026-04-23,REGULAR
CUST00196,Chloe Gill,chloe.gill57@mailbox.net,2025-10-29,PREMIUM
CUST00197,Vivaan Bennett,vivaan.bennett83@shopmail.org,2026-02-09,REGULAR
CUST00198,Lena Dutta,lena.dutta59@example.com,2024-12-04,PREMIUM
CUST00199,Milo Patel,milo.patel43@mailbox.net,2024-09-21,VIP
CUST00200,Victor Gill,victor.gill98@mailbox.net,2024-10-10,REGULAR
CUST00201,Yash Sokolov,yash.sokolov77@example.com,2024-12-30,REGULAR
CUST00202,Sara Mehta,sara.mehta33@mailbox.net,2026-02-05,REGULAR
CUST00203,Ananya Mehta,ananya.mehta46@mailbox.net,2024-08-16,REGULAR
CUST00204,Ananya Joshi,ananya.joshi7@mailbox.net,2025-04-29,PREMIUM
CUST00205,Iris Kapoor,iris.kapoor61@inbox.co,2024-10-05,PREMIUM
CUST00206,Adam Costa,adam.costa58@mailbox.net,2024-11-20,VIP
CUST00207,Rohan Hale,rohan.hale59@example.com,2025-06-05,REGULAR
CUST00208,Ethan Fischer,ethan.fischer88@example.com,2025-10-11,REGULAR
CUST00209,Leo Khan,leo.khan42@mailbox.net,2024-10-22,REGULAR
CUST00210,Lena Costa,lena.costa92@shopmail.org,2026-02-13,REGULAR
CUST00211,Milo Hale,milo.hale59@inbox.co,2025-05-29,REGULAR
CUST00212,Diya Kim,diya.kim56@inbox.co,2025-03-09,PREMIUM
CUST00213,Felix Sokolov,felix.sokolov52@inbox.co,2025-11-08,PREMIUM
CUST00214,Hugo Sullivan,hugo.sullivan86@shopmail.org,2025-06-17,REGULAR
CUST00215,Sara Mercer,sara.mercer12@example.com,2024-10-08,REGULAR
CUST00216,Vivaan Bennett,vivaan.bennett72@example.com,2024-12-12,REGULAR
CUST00217,Alice Kim,alice.kim86@example.com,2025-07-04,REGULAR
CUST00218,Maya Iyer,maya.iyer77@shopmail.org,2025-05-22,REGULAR
CUST00219,Victor Vaughn,victor.vaughn20@inbox.co,2025-03-06,REGULAR
CUST00220,Vivaan Dupont,vivaan.dupont48@example.com,2026-02-21,PREMIUM
CUST00221,Victor Bhatt,victor.bhatt72@example.com,2025-10-14,REGULAR
CUST00222,Lena Patel,lena.patel35@shopmail.org,2025-02-01,VIP
CUST00223,Ivan Sharma,ivan.sharma19@inbox.co,2025-02-02,REGULAR
CUST00224,Ananya Bose,ananya.bose28@inbox.co,2026-01-26,REGULAR
CUST00225,Freya Verma,freya.verma40@shopmail.org,2025-08-14,PREMIUM
CUST00226,Victor Bose,victor.bose20@mailbox.net,2024-09-23,PREMIUM
CUST00227,Meera Bose,meera.bose57@inbox.co,2025-05-06,REGULAR
CUST00228,Leo Grant,leo.grant28@example.com,2025-05-07,REGULAR
CUST00229,Diya Petrova,diya.petrova63@shopmail.org,2026-03-31,REGULAR
CUST00230,Zara Iyer,zara.iyer27@shopmail.org,2024-08-08,VIP
CUST00231,Arjun Novak,arjun.novak42@example.com,2025-05-24,REGULAR
CUST00232,Maya Joshi,maya.joshi49@mailbox.net,2024-12-11,REGULAR
CUST00233,Ivan Khan,ivan.khan95@,2025-09-11,REGULAR
CUST00234,Ruby Khan,ruby.khan74@inbox.co,2025-06-17,REGULAR
CUST00235,Felix Petrova,felix.petrova52@example.com,2024-11-26,VIP
CUST00236,Neel Blake,neel.blake12@inbox.co,2025-08-06,PREMIUM
CUST00237,Nisha Sullivan,nisha.sullivan52@example.com,2026-03-27,REGULAR
CUST00238,Elena Sokolov,elena.sokolov43@mailbox.net,2025-03-15,REGULAR
CUST00239,Diya Hale,diya.hale25@shopmail.org,2026-01-05,REGULAR
CUST00240,Sara Haddad,sara.haddad19@shopmail.org,2024-11-14,REGULAR
CUST00241,Milo Rao,milo.rao23@inbox.co,2024-10-17,REGULAR
CUST00242,Victor Costa,victor.costa88@shopmail.org,2025-11-03,PREMIUM
CUST00243,Hugo Rao,hugo.rao9@inbox.co,2025-10-25,REGULAR
CUST00244,Elena Cole,elena.cole8@shopmail.org,2026-03-29,REGULAR
CUST00245,Elena Blake,elena.blake5@example.com,2025-11-06,REGULAR
CUST00246,Marcus Khan,marcus.khan79@inbox.co,2024-11-01,REGULAR
CUST00247,Alice Nair,alice.nair74@mailbox.net,2025-11-04,REGULAR
CUST00248,Ethan Vaughn,ethan.vaughn8@inbox.co,2025-01-02,REGULAR
CUST00249,Freya Bose,freya.bose83@mailbox.net,2025-12-30,REGULAR
CUST00250,Leo Ford,leo.ford67@mailbox.net,2026-01-19,REGULAR
CUST00251,Marcus Weber,marcus.weber44@example.com,2025-09-23,PREMIUM
CUST00252,Freya Khan,freya.khan13@inbox.co,2025-07-04,REGULAR
CUST00253,Milo Rao,milo.rao11@mailbox.net,2025-07-08,VIP
CUST00254,Elena Fischer,elena.fischer77@example.com,2024-12-11,REGULAR
CUST00255,Noah Sokolov,noah.sokolov86@example.com,2024-12-09,PREMIUM
CUST00256,Maya Vaughn,maya.vaughn3@shopmail.org,2025-08-06,REGULAR
CUST00257,Tara Sokolov,tara.sokolov25@mailbox.net,2025-12-11,VIP
CUST00258,Sara Khan,sara.khan13@example.com,2025-05-30,PREMIUM
CUST00259,Cleo Mehta,cleo.mehta49@mailbox.net,2026-04-04,REGULAR
CUST00260,Cleo Verma,cleo.verma6@inbox.co,2025-10-23,REGULAR
CUST00261,Nisha Ford,nisha.ford37@inbox.co,2026-04-18,REGULAR
CUST00262,Nisha Muller,nisha.muller25@shopmail.org,2025-11-24,PREMIUM
CUST00263,Victor Ford,victor.ford99@shopmail.org,2025-11-16,PREMIUM
CUST00264,Adam Hale,adam.hale21@mailbox.net,2025-10-03,PREMIUM
CUST00265,Arjun Novak,arjun.novak83@inbox.co,2024-09-23,PREMIUM
CUST00266,Alice Reddy,alice.reddy16@shopmail.org,2026-01-11,REGULAR
CUST00267,Neel Cole,neel.cole66@mailbox.net,2025-11-04,PREMIUM
CUST00268,Isha Bhatt,isha.bhatt45@example.com,2025-11-05,REGULAR
CUST00269,Zara Vaughn,zara.vaughn31@inbox.co,2025-08-18,VIP
CUST00270,Chloe Bhatt,chloe.bhatt41@example.com,2024-08-29,PREMIUM
CUST00271,Freya Rao,freya.rao5@shopmail.org,2024-12-19,VIP
CUST00272,Ethan Mehta,ethan.mehta58@example.com,2025-11-24,VIP
CUST00273,Ananya Novak,ananya.novak20@inbox.co,2025-03-09,REGULAR
CUST00274,Marcus Haddad,marcus.haddad16@example.com,2025-06-05,REGULAR
CUST00275,Cleo Blake,cleo.blake15@inbox.co,2024-10-04,REGULAR
CUST00276,Ananya Vaughn,ananya.vaughn31@mailbox.net,2026-03-12,REGULAR
CUST00277,Aarav Dupont,aarav.dupont74@inbox.co,2025-04-04,REGULAR
CUST00278,Isha Hale,isha.hale9@example.com,2025-08-05,REGULAR
CUST00279,Ethan Nair,ethan.nair48@shopmail.org,2025-09-01,PREMIUM
CUST00280,Ivan Khan,ivan.khan31@example.com,2025-07-20,PREMIUM
CUST00281,Freya Mehta,freya.mehta46@shopmail.org,2024-09-15,PREMIUM
CUST00282,Priya Blake,priya.blake81@mailbox.net,2025-12-04,PREMIUM
CUST00283,Kabir Blake,kabir.blake38@mailbox.net,2024-09-07,REGULAR
CUST00284,Dev Nair,dev.nair40@inbox.co,2025-06-20,VIP
CUST00285,Jonas Mercer,jonas.mercer5@mailbox.net,2025-04-17,REGULAR
CUST00286,Meera Sokolov,meera.sokolov16@shopmail.org,2025-05-07,REGULAR
CUST00287,Zara Ford,zara.ford44@mailbox.net,2025-08-31,REGULAR
CUST00288,Nora Bennett,nora.bennett35@example.com,2026-01-14,PREMIUM
CUST00289,Isha Sullivan,isha.sullivan24@shopmail.org,2026-04-09,REGULAR
CUST00290,Isha Larsen,isha.larsen40@inbox.co,2025-05-30,REGULAR
CUST00291,Maya Verma,maya.verma45@inbox.co,2025-10-29,REGULAR
CUST00292,Ivan Sullivan,ivan.sullivan82@example.com,2025-05-09,REGULAR
CUST00293,Zara Bennett,zara.bennett96@mailbox.net,2026-01-08,VIP
CUST00294,Sara Ford,sara.ford17@example.com,2024-09-05,REGULAR
CUST00295,Chloe Bennett,chloe.bennett73@example.com,2025-08-28,REGULAR
CUST00296,Leo Bennett,leo.bennett57@example.com,2025-08-16,REGULAR
CUST00297,Iris Bennett,iris.bennett41@shopmail.org,2025-09-12,REGULAR
CUST00298,Diya Patel,diya.patel64@inbox.co,2025-02-07,VIP
CUST00299,Diya Novak,diya.novak91@inbox.co,2025-04-24,REGULAR
CUST00300,Cleo Petrova,cleo.petrova26@example.com,2025-12-16,REGULAR
CUST00301,Kabir Ford,kabir.ford92@inbox.co,2025-01-24,VIP
CUST00302,Hugo Dupont,hugo.dupont71@shopmail.org,2024-10-06,PREMIUM
CUST00303,Neel Joshi,neel.joshi66@mailbox.net,2025-08-06,REGULAR
CUST00304,Dev Mehta,dev.mehta64@example.com,2025-03-31,REGULAR
CUST00305,Victor Bennett,victor.bennett71@mailbox.net,2025-11-22,REGULAR
CUST00306,Isha Khan,isha.khan51@inbox.co,2025-06-13,REGULAR
CUST00307,Felix Tanaka,felix.tanaka17@,2024-10-15,PREMIUM
CUST00308,Leo Blake,leo.blake45@mailbox.net,2026-01-12,PREMIUM
CUST00309,Alice Costa,alice.costa99@mailbox.net,2025-02-03,REGULAR
CUST00310,Meera Kapoor,meera.kapoor20@shopmail.org,2026-01-13,REGULAR
CUST00311,Hugo Bhatt,hugo.bhatt67@shopmail.org,2025-07-21,PREMIUM
CUST00312,Omar Dutta,omar.dutta36@mailbox.net,2026-02-16,PREMIUM
CUST00313,Cleo Rossi,cleo.rossi65@mailbox.net,2024-11-04,REGULAR
CUST00314,Wren Rao,wren.rao85@shopmail.org,2025-01-23,PREMIUM
CUST00315,Victor Nair,victor.nair11@example.com,2024-08-30,VIP
CUST00316,Victor Novak,victor.novak99@inbox.co,2025-03-04,REGULAR
CUST00317,Ananya Quinn,ananya.quinn38@shopmail.org,2026-02-10,REGULAR
CUST00318,Zara Muller,zara.muller10@example.com,2025-11-08,REGULAR
CUST00319,Felix Mercer,felix.mercer27@shopmail.org,2025-11-19,REGULAR
CUST00320,Hugo Larsen,hugo.larsen52@mailbox.net,2025-07-20,PREMIUM
CUST00321,Adam Kim,adam.kim41@mailbox.net,2024-11-17,REGULAR
CUST00322,Lena Ford,lena.ford19@example.com,2025-04-11,REGULAR
CUST00323,Noah Grant,noah.grant21@shopmail.org,2025-04-12,VIP
CUST00324,Hugo Dutta,hugo.dutta64@inbox.co,2025-01-11,REGULAR
CUST00325,Elena Quinn,elena.quinn12@inbox.co,2024-08-24,REGULAR
CUST00326,Nisha Gill,nisha.gill46@example.com,2026-03-21,REGULAR
CUST00327,Nora Mercer,nora.mercer69@example.com,2025-05-20,PREMIUM
CUST00328,Maya Mehta,maya.mehta94@shopmail.org,2025-04-28,PREMIUM
CUST00329,Chloe Nair,chloe.nair7@mailbox.net,2025-09-15,REGULAR
CUST00330,Marcus Khan,marcus.khan65@inbox.co,2025-08-31,PREMIUM
CUST00331,Lena Kapoor,lena.kapoor13@inbox.co,2024-12-10,REGULAR
CUST00332,Freya Kim,freya.kim97@mailbox.net,2025-08-10,REGULAR
CUST00333,Adam Fischer,adam.fischer6@example.com,2025-12-26,REGULAR
CUST00334,Freya Mercer,freya.mercer59@mailbox.net,2026-01-14,REGULAR
CUST00335,Adam Mehta,adam.mehta79@shopmail.org,2025-07-02,REGULAR
CUST00336,Cleo Muller,cleo.muller44@inbox.co,2026-03-31,PREMIUM
CUST00337,Elena Mercer,elena.mercer48@shopmail.org,2024-08-18,PREMIUM
CUST00338,Felix Costa,felix.costa93@example.com,2025-06-12,REGULAR
