customer_sk,customer_id,customer_name,segment,country,city,state,postal_code,region,total_orders,total_sales,total_profit,last_order_date,loyalty_tier,email,record_updated_at,record_hash,effective_start_date,effective_end_date,is_current
9,AB-10165,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West,8,1113.84,220.81,2017-12-05,SILVER,alan.barnes@example.com,2019-12-31 22:00:00+00:00,a1a66791d803c1fb7da2467a20d4f488,2019-12-31 22:00:00+00:00,,True
10,AB-10255,Alejandro Ballentine,Home Office,United States,Carlsbad,New Mexico,88220,West,9,914.53,264.57,2017-07-17,BRONZE,alejandro.ballentine@example.com,2019-12-31 22:00:00+00:00,951f0d28712973c7d72079a9fdebeed9,2019-12-31 22:00:00+00:00,,True
11,AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West,4,1515.86,-274.96,2017-11-10,SILVER,ann.blume@example.com,2019-12-31 22:00:00+00:00,ad00071839f0fd7e3c49c6e9c4d5db6f,2019-12-31 22:00:00+00:00,,True
796,AB-20035,Ananya Bose,Home Office,United States,Phoenix,Arizona,85023,West,5,6219.65,1725.68,2020-01-15,PLATINUM,ananya.bose@example.com,2020-01-15 06:30:00+00:00,67499bd0c4c17ef404a11c355fd9c53d,2020-01-15 06:30:00+00:00,,True
12,AC-10420,Alyssa Crouse,Corporate,United States,Houston,Texas,77041,Central,3,925.8,-62.13,2017-05-12,BRONZE,alyssa.crouse@example.com,2019-12-31 22:00:00+00:00,ed3ca01a9d731725c5a364b47da0f9f5,2019-12-31 22:00:00+00:00,,True
13,AC-10450,Amy Cox,Consumer,United States,New York City,New York,10011,East,7,5527.85,1366.01,2017-12-19,PLATINUM,amy.cox@example.com,2019-12-31 22:00:00+00:00,160e2ad3174d7e8f18dfa6d80ec6a785,2019-12-31 22:00:00+00:00,,True
14,AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East,5,2537.69,298.83,2017-12-24,GOLD,ann.chong@example.com,2019-12-31 22:00:00+00:00,e940db8a581745310670a86de19f4b75,2019-12-31 22:00:00+00:00,,True
15,AC-10660,Anna Chung,Consumer,United States,Parma,Ohio,44134,East,5,657.32,-28.7,2017-03-23,BRONZE,anna.chung@example.com,2019-12-31 22:00:00+00:00,da8202b5d4821750f9f8b5dacf9bebc0,2019-12-31 22:00:00+00:00,,True
16,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,8,6106.88,1869.93,2017-12-01,PLATINUM,alan.dominguez@example.com,2019-12-31 22:00:00+00:00,322380ebd9b41c7012ef4f511cbf77ba,2019-12-31 22:00:00+00:00,,True
17,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,07055,East,7,2052.91,317.97,2017-11-19,SILVER,art.ferguson@example.com,2019-12-31 22:00:00+00:00,d3b3f42ab1b98a183a567f2e3a107fb7,2019-12-31 22:00:00+00:00,,True
18,AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214,South,4,861.56,-163.12,2016-11-10,BRONZE,art.foster@unknown.local,2019-12-31 22:00:00+00:00,4b0b96dfd3bdbcbd0fcb1fbe4afc6f71,2019-12-31 22:00:00+00:00,,True
19,AG-10270,Alejandro Grove,Consumer,United States,Omaha,Nebraska,68104,Central,5,2582.9,732.74,2017-03-27,GOLD,alejandro.grove@example.com,2019-12-31 22:00:00+00:00,ba52b721dc05331dfe9a9c4cfd1e2e3c,2019-12-31 22:00:00+00:00,,True
20,AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049,West,4,367.55,59.29,2017-09-03,BRONZE,aleksandra.gannaway@example.com,2019-12-31 22:00:00+00:00,5028db23f037ad5f36f22825c4f53f22,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
953,AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049,West,7,564.4,71.96,2020-01-15,BRONZE,aleksandra.gannaway@example.com,2020-01-15 06:30:00+00:00,478647324516866846a4cfe1647b5e6a,2020-01-15 06:30:00+00:00,,True
21,AG-10330,Alex Grayson,Consumer,United States,Houston,Texas,77095,Central,5,660.97,-5.14,2017-12-22,BRONZE,alex.grayson@example.com,2019-12-31 22:00:00+00:00,7dd51db57072eacb6135c6d6247d002a,2019-12-31 22:00:00+00:00,,True
22,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,45231,East,5,200.94,69.28,2017-09-07,BRONZE,allen.goldenen@example.com,2019-12-31 22:00:00+00:00,66707f4173ab994228c98c859a994542,2019-12-31 22:00:00+00:00,,True
23,AG-10495,Andrew Gjertsen,Corporate,United States,Saint Petersburg,Florida,33710,South,8,2356.86,295.67,2017-10-13,SILVER,andrew.gjertsen@example.com,2019-12-31 22:00:00+00:00,3e49e1b1ea2e5808cefb2ab59c8a4a13,2019-12-31 22:00:00+00:00,,True
24,AG-10525,Andy Gerbode,Corporate,United States,New York City,New York,10011,East,4,1455.04,-152.76,2015-09-07,SILVER,andy.gerbode@example.com,2019-12-31 22:00:00+00:00,3afe168af80eec5b64ee7b3b2bc0cc09,2019-12-31 22:00:00+00:00,,True
25,AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036,Unknown,7,3489.04,-246.43,2017-09-24,GOLD,anna.gayman@example.com,2019-12-31 22:00:00+00:00,9bf4554aab4a71c6598b17ce69fb637d,2019-12-31 22:00:00+00:00,,True
26,AG-10765,Anthony Garverick,Home Office,United States,Chicago,Illinois,60623,Central,4,170.58,-8.43,2017-10-14,BRONZE,anthony.garverick@example.com,2019-12-31 22:00:00+00:00,de99d1ba25143723dbdb79f9233e401d,2019-12-31 22:00:00+00:00,,True
27,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705,West,10,4510.8,343.68,2017-09-25,GOLD,arthur.gainer@example.com,2019-12-31 22:00:00+00:00,92b9fa25333311ef2000a2e3a3711272,2019-12-31 22:00:00+00:00,,True
28,AH-10030,Aaron Hawkins,Corporate,United States,Los Angeles,California,90004,West,7,1744.7,365.22,2017-12-18,SILVER,aaron.hawkins@example.com,2019-12-31 22:00:00+00:00,e4a106d79b799733f941e2f07845e116,2019-12-31 22:00:00+00:00,,True
29,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,02920,East,10,3250.34,281.19,2017-11-26,GOLD,adam.hart@example.com,2019-12-31 22:00:00+00:00,2002c8d78cc04d141bcacf344ec9af67,2019-12-31 22:00:00+00:00,,True
30,AH-10120,Adrian Hane,Home Office,United States,Salem,Oregon,97301,West,7,1735.51,-2.31,2017-10-31,SILVER,adrian.hane@example.com,2019-12-31 22:00:00+00:00,cfa06f030e7ae57a8b2a04d9d5b6807b,2019-12-31 22:00:00+00:00,,True
31,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319,South,4,1587.45,-378.55,2017-11-05,SILVER,alan.haines@example.com,2019-12-31 22:00:00+00:00,8e2429f63d44900e0a73ea4e8fbad52f,2019-12-31 22:00:00+00:00,,True
32,AH-10210,Alan Hwang,Consumer,United States,New York City,New York,10024,East,9,4805.34,1308.55,2017-12-24,GOLD,alan.hwang@example.com,2019-12-31 22:00:00+00:00,593cd2923de0add65e89104fa6ce25f7,2019-12-31 22:00:00+00:00,,True
33,AH-10465,Amy Hunt,Consumer,United States,Dallas,Texas,75217,Central,5,2495.39,-196.12,2017-05-14,SILVER,amy.hunt@example.com,2019-12-31 22:00:00+00:00,e5ba951202ed0e3f1d2ffa84dc1b1506,2019-12-31 22:00:00+00:00,,True
34,AH-10585,Angele Hood,Consumer,United States,Seattle,Washington,98105,West,4,738.5,83.96,2017-12-09,BRONZE,angele.hood@example.com,2019-12-31 22:00:00+00:00,6f692ac00b8ab846ca4859668eb5c32d,2019-12-31 22:00:00+00:00,,True
35,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,33317,South,12,7888.29,1298.02,2016-11-15,PLATINUM,anna.haberlin@example.com,2019-12-31 22:00:00+00:00,c1cd59c5cdeb94ea0e75a7f8bfec5118,2019-12-31 22:00:00+00:00,,True
798,AH-20245,Alice Hale,Home Office,United States,Houston,Texas,77041,Central,7,5798.13,-71.64,2020-01-15,PLATINUM,alice.hale@example.com,2020-01-15 06:30:00+00:00,09ed27484ebd85edddcd6d6d5c3d23fe,2020-01-15 06:30:00+00:00,,True
36,AI-10855,Arianne Irving,Consumer,United States,Los Angeles,California,90036,West,10,4375.79,867.73,2017-12-17,GOLD,arianne.irving@example.com,2019-12-31 22:00:00+00:00,0f0556ab0f0b282d17823c17ae227b64,2019-12-31 22:00:00+00:00,,True
37,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215,East,7,4867.34,150.71,2017-10-16,GOLD,anthony.jacobs@example.com,2019-12-31 22:00:00+00:00,db43eec5059661c2999f078d39aba5c3,2019-12-31 22:00:00+00:00,,True
38,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,West,7,4501.39,1158.71,2017-07-17,GOLD,anthony.johnson@example.com,2019-12-31 22:00:00+00:00,60e8f12aac9a1ff89e0ed18ee4ee0888,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
954,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,West,10,7011.66,1215.95,2020-01-15,PLATINUM,anthony.johnson@example.com,2020-01-15 06:30:00+00:00,e354870719da479cf510660c9194974e,2020-01-15 06:30:00+00:00,,True
39,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,7,1839.24,521.14,2017-10-06,SILVER,ashley.jarboe@example.com,2019-12-31 22:00:00+00:00,a977b362743f37363cc32e50abebd54a,2019-12-31 22:00:00+00:00,,True
40,AJ-10960,Astrea Jones,Consumer,United States,New York City,New York,10035,East,3,629.25,60.43,2017-10-17,BRONZE,astrea.jones@example.com,2019-12-31 22:00:00+00:00,dcf93c28a3b75dad2e06339e867f66bc,2019-12-31 22:00:00+00:00,,True
41,AM-10360,Alice McCarthy,Corporate,United States,Los Angeles,California,90032,West,5,814.01,194.99,2017-12-02,BRONZE,alice.mccarthy@example.com,2019-12-31 22:00:00+00:00,3e74cfdc57b489b3dff337f763a5a310,2019-12-31 22:00:00+00:00,,True
42,AM-10705,Anne McFarland,Consumer,United States,Cranston,Rhode Island,02920,East,8,5664.02,1085.73,2017-07-21,PLATINUM,anne.mcfarland@example.com,2019-12-31 22:00:00+00:00,70cce7aa28f8b321e6d8db2d39435e2c,2019-12-31 22:00:00+00:00,,True
800,AM-20056,Arjun Mehta,Home Office,United States,New York City,New York,10024,East,4,3194.47,631.76,2020-01-15,GOLD,arjun.mehta@example.com,2020-01-15 06:30:00+00:00,a44a09632707810b243b7642106701a2,2020-01-15 06:30:00+00:00,,True
801,AM-20224,Adam Mercer,Home Office,United States,New York City,New York,10024,East,7,8455.27,-212.7,2020-01-15,PLATINUM,adam.mercer@example.com,2020-01-15 06:30:00+00:00,04c5d5c49ff4a550c68c2bc765bc62cc,2020-01-15 06:30:00+00:00,,True
43,AO-10810,Anthony O'Donnell,Corporate,United States,Los Angeles,California,90045,West,1,161.28,12.1,2016-08-16,BRONZE,anthony.odonnell@example.com,2019-12-31 22:00:00+00:00,5302a3ac5545d34d60cfe2796f1fa3e8,2019-12-31 22:00:00+00:00,,True
44,AP-10720,Anne Pryor,Home Office,United States,Los Angeles,California,90032,West,8,1638.55,285.79,2017-11-19,SILVER,anne.pryor@example.com,2019-12-31 22:00:00+00:00,8e755c93becafeb0ffd23f9519edd30f,2019-12-31 22:00:00+00:00,,True
45,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,10,3323.56,579.31,2017-09-23,GOLD,arthur.prichep@example.com,2019-12-31 22:00:00+00:00,92a5084ba19bdab97123985287f2e6d3,2019-12-31 22:00:00+00:00,,True
46,AR-10345,Alex Russell,Corporate,United States,Philadelphia,Pennsylvania,19143,East,4,1055.69,-221.05,2017-09-10,SILVER,alex.russell@example.com,2019-12-31 22:00:00+00:00,8b51be29aefeca1e514106820bf25032,2019-12-31 22:00:00+00:00,,True
47,AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,90036,West,5,2236.13,-98.76,2017-08-27,SILVER,allen.rosenblatt@example.com,2019-12-31 22:00:00+00:00,9ee02f2ae5b2a72ae3de4ce8380f97d2,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
955,AR-10405,Allen Rosenblatt,Corporate,United States,Austin,Texas,78701,Central,8,2870.88,-109.72,2020-01-15,GOLD,allen.rosenblatt@example.com,2020-01-15 06:30:00+00:00,7944811545260eea373fa41c0f2d61a4,2020-01-15 06:30:00+00:00,,True
48,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,5,264.86,43.67,2017-12-16,BRONZE,andrew.roberts@example.com,2019-12-31 22:00:00+00:00,2a5cd398f597a9bcc53ed1438e74f400,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
956,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,6,319.49,53.71,2020-01-15,BRONZE,andrew.roberts@example.com,2020-01-15 06:30:00+00:00,fccc1dc6c10c9b871410771fc6051b99,2020-01-15 06:30:00+00:00,,True
49,AR-10540,Andy Reiter,Consumer,United States,Jackson,Michigan,49201,Central,6,6608.45,2884.62,2017-12-24,PLATINUM,andy.reiter@example.com,2019-12-31 22:00:00+00:00,8a115c1de9d17254c88af683d1fe3661,2019-12-31 22:00:00+00:00,,True
50,AR-10570,Anemone Ratner,Consumer,United States,Unknown,Georgia,31907,South,1,88.15,32.63,2016-07-14,BRONZE,anemone.ratner@example.com,2019-12-31 22:00:00+00:00,84ec6270918755988320928c601ca170,2019-12-31 22:00:00+00:00,,True
51,AR-10825,Anthony Rawles,Corporate,United States,New York City,New York,10009,East,8,4523.34,494.84,2017-11-02,GOLD,anthony.rawles@example.com,2019-12-31 22:00:00+00:00,8a52f9dae7876514ff165097488f593e,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
957,AR-10825,Anthony Rawles,Corporate,United States,Seattle,Washington,98101,West,9,6915.07,702.61,2020-01-15,PLATINUM,anthony.rawles@example.com,2020-01-15 06:30:00+00:00,f835d4bebff3e09df9a3c67eea596c31,2020-01-15 06:30:00+00:00,,True
52,AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,28540,South,7,3050.69,-253.57,2017-10-03,GOLD,aaron.smayling@example.com,2019-12-31 22:00:00+00:00,10075083e49ead8eaea8249f2618ad2a,2019-12-31 22:00:00+00:00,,True
53,AS-10090,Adam Shillingsburg,Consumer,United States,Springfield,Missouri,65807,Central,9,3255.31,64.54,2017-12-02,GOLD,adam.shillingsburg@example.com,2019-12-31 22:00:00+00:00,656bc77b597aafacf44504cc51063187,2019-12-31 22:00:00+00:00,,True
54,AS-10135,Adrian Shami,Home Office,United States,Unknown,New York,10035,East,2,58.82,21.85,2017-11-19,BRONZE,adrian.shami@example.com,2019-12-31 22:00:00+00:00,c9626c5308577ddcada154211fb679e0,2019-12-31 22:00:00+00:00,,True
55,AS-10225,Alan Schoenberger,Corporate,United States,Provo,Utah,84604,West,5,4260.78,719.78,2017-12-08,GOLD,alan.schoenberger@example.com,2019-12-31 22:00:00+00:00,093d5045e88d2f3e31edfd7c40b4b978,2019-12-31 22:00:00+00:00,,True
56,AS-10240,Alan Shonely,Consumer,United States,Tampa,Florida,33614,South,7,584.61,33.72,2017-06-21,BRONZE,alan.shonely@example.com,2019-12-31 22:00:00+00:00,b1d2d201017aa18a55cd02874b03f409,2019-12-31 22:00:00+00:00,,True
57,AS-10285,Alejandro Savely,Corporate,United States,Dallas,Texas,75081,Central,6,3214.24,354.63,2017-12-11,GOLD,alejandro.savely@example.com,2019-12-31 22:00:00+00:00,bca441b687023fd9895b216e885acd02,2019-12-31 22:00:00+00:00,,True
58,AS-10630,Ann Steele,Home Office,United States,Boynton Beach,Florida,33437,South,7,833.4,136.49,2017-09-29,BRONZE,ann.steele@example.com,2019-12-31 22:00:00+00:00,9cebf2565d60ed1cad0b03b433d0aea9,2019-12-31 22:00:00+00:00,,True
805,AS-20000,Aarav Sharma,Consumer,United States,New York City,New York,10024,East,4,8412.27,84.73,2020-01-15,PLATINUM,aarav.sharma@example.com,2020-01-15 06:30:00+00:00,d51ba10db2991660c22084009bf0f25d,2020-01-15 06:30:00+00:00,,True
59,AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,90004,West,6,1171.81,100.88,2017-12-09,SILVER,alyssa.tate@example.com,2019-12-31 22:00:00+00:00,c7b072e62caa8802fea6bd61f3f1c099,2019-12-31 22:00:00+00:00,,True
60,AT-10735,Annie Thurman,Consumer,United States,New York City,New York,00000,East,10,3831.86,974.11,2017-12-17,GOLD,annie.thurman@example.com,2019-12-31 22:00:00+00:00,498711fccc34663c7277826c010105d0,2019-12-31 22:00:00+00:00,,True
806,AT-20301,Amara Torres,Corporate,United States,Houston,Texas,77041,Central,11,5039.96,-78.34,2020-01-15,PLATINUM,amara.torres@example.com,2020-01-15 06:30:00+00:00,b4de1cbddca387effa15434e0cefe03a,2020-01-15 06:30:00+00:00,,True
61,AW-10840,Anthony Witt,Consumer,United States,Bakersfield,California,93309,West,4,649.38,65.77,2017-12-10,BRONZE,anthony.witt@example.com,2019-12-31 22:00:00+00:00,1571e2dd93b3ff2c822bc12ec9f00572,2019-12-31 22:00:00+00:00,,True
62,AW-10930,Arthur Wiediger,Home Office,United States,Houston,Texas,77070,Central,7,2852.97,-104.55,2017-11-14,GOLD,arthur.wiediger@example.com,2019-12-31 22:00:00+00:00,4c0a0eab4f9f6855b8a3f8aaa3e49d2e,2019-12-31 22:00:00+00:00,,True
63,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,4,0.0,103.35,2017-12-16,BRONZE,andy.yotov@example.com,2019-12-31 22:00:00+00:00,5e12ff54e999b4c7029cc40e8a20594e,2019-12-31 22:00:00+00:00,,True
64,AZ-10750,Annie Zypern,Consumer,United States,San Diego,California,92037,West,6,1622.02,154.95,2017-07-23,SILVER,annie.zypern@example.com,2019-12-31 22:00:00+00:00,77972e1df9e5e57dbfd7fea86ff26d46,2019-12-31 22:00:00+00:00,,True
65,BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301,West,5,744.34,11.58,2017-09-16,BRONZE,barry.blumstein@example.com,2019-12-31 22:00:00+00:00,cfd6febe465b32ee93ff3b097424591b,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
958,BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301,West,7,1028.12,16.44,2020-01-15,SILVER,barry.blumstein@example.com,2020-01-15 06:30:00+00:00,c6e1edc8833a9d2003d9ed09f7009349,2020-01-15 06:30:00+00:00,,True
66,BB-11545,Brenda Bowman,Corporate,United States,Fort Worth,Texas,76106,Central,9,6765.73,1015.08,2017-12-02,PLATINUM,brenda.bowman@example.com,2019-12-31 22:00:00+00:00,17082144df9c58216242a0faff79cdcd,2019-12-31 22:00:00+00:00,,True
67,BC-11125,Becky Castell,Home Office,United States,Peoria,Arizona,85345,West,9,2933.68,251.6,2017-06-11,GOLD,becky.castell@example.com,2019-12-31 22:00:00+00:00,4d3545a7436be7ea52a9fa5c56678108,2019-12-31 22:00:00+00:00,,True
68,BD-11320,Bill Donatelli,Unknown,United States,Los Angeles,California,90004,West,12,5718.52,1094.5,2017-11-27,PLATINUM,bill.donatelli@example.com,2019-12-31 22:00:00+00:00,34626ede721e85c2418ea5517985e8d9,2019-12-31 22:00:00+00:00,,True
69,BD-11500,Bradley Drucker,Consumer,United States,Chicago,Illinois,60653,Central,6,4411.24,1142.12,2017-11-25,GOLD,bradley.drucker@example.com,2019-12-31 22:00:00+00:00,9b224edecb0ed27479f0827aa7576e95,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
959,BD-11500,Bradley Drucker,Consumer,United States,Miami,Florida,33101,South,7,4844.62,1539.79,2020-01-15,GOLD,bradley.drucker@example.com,2020-01-15 06:30:00+00:00,3e45009384efc024ae0ece2fb8b7f01b,2020-01-15 06:30:00+00:00,,True
70,BD-11560,Brendan Dodson,Unknown,United States,Fresno,California,93727,West,2,320.54,116.71,2017-03-27,BRONZE,brendan.dodson@unknown.local,2019-12-31 22:00:00+00:00,d9746598417933c5625e109b4ec3acb8,2019-12-31 22:00:00+00:00,,True
71,BD-11605,Brian Dahlen,Consumer,United States,Monroe,Louisiana,71203,South,7,3288.47,634.85,2017-09-24,GOLD,brian.dahlen@example.com,2019-12-31 22:00:00+00:00,20907966b08b9513d5df6a9bdee1cdc3,2019-12-31 22:00:00+00:00,,True
72,BD-11620,Brian DeCherney,Consumer,United States,Lawton,Oklahoma,73505,Central,6,1538.11,206.76,2017-10-22,SILVER,brian.decherney@example.com,2019-12-31 22:00:00+00:00,97d5a251020d9223df00dd8fe7842d77,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
960,BD-11620,Brian DeCherney,Consumer,United States,Lawton,Oklahoma,73505,Central,7,2190.6,226.54,2020-01-15,SILVER,brian.decherney@example.com,2020-01-15 06:30:00+00:00,35f1d331e2536c6e9bd99a71ff557e67,2020-01-15 06:30:00+00:00,,True
73,BD-11635,Brian Derr,Consumer,United States,New York City,New York,10009,East,3,582.65,141.53,2017-12-21,BRONZE,brian.derr@example.com,2019-12-31 22:00:00+00:00,410fb592bba2c1e3d6ddf598282b9720,2019-12-31 22:00:00+00:00,,True
74,BD-11725,Bruce Degenhardt,Unknown,United States,Lafayette,Louisiana,70506,South,6,1526.5,333.98,2017-09-28,SILVER,bruce.degenhardt@example.com,2019-12-31 22:00:00+00:00,44679401254190052891768c9c735816,2019-12-31 22:00:00+00:00,,True
75,BD-11770,Bryan Davis,Consumer,United States,Edmonds,Washington,98026,West,6,658.47,141.26,2017-02-06,BRONZE,bryan.davis@example.com,2019-12-31 22:00:00+00:00,2fbefc50d778e50197254306ce1790f7,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
961,BD-11770,Bryan Davis,Consumer,United States,Austin,Texas,78701,Central,10,891.44,169.66,2020-01-15,BRONZE,bryan.davis@example.com,2020-01-15 06:30:00+00:00,d347296cc8162039895a22bd1aec338d,2020-01-15 06:30:00+00:00,,True
76,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201,Central,5,4204.68,1487.77,2017-09-02,GOLD,bill.eplett@example.com,2019-12-31 22:00:00+00:00,a998d04caa9fa356bb2e05347acf57c5,2019-12-31 22:00:00+00:00,,True
77,BE-11410,Bobby Elias,Consumer,United States,Appleton,Wisconsin,54915,Central,5,2261.44,755.92,2017-09-23,SILVER,bobby.elias@example.com,2019-12-31 22:00:00+00:00,4fdb8cea05bf5b2c2c28e29bfdd71643,2019-12-31 22:00:00+00:00,,True
78,BE-11455,Brad Eason,Home Office,United States,Providence,Rhode Island,00000,East,6,1727.65,139.2,2017-04-20,SILVER,brad.eason@example.com,2019-12-31 22:00:00+00:00,6a3937b51a5e82a5c3bac0a47a23e66f,2019-12-31 22:00:00+00:00,,True
79,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,7,599.8,227.44,2017-09-30,BRONZE,barbara.fisher@example.com,2019-12-31 22:00:00+00:00,45f9c2cf0892050750e8ec3feaee1558,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
962,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,8,797.8,273.98,2020-01-15,BRONZE,barbara.fisher@example.com,2020-01-15 06:30:00+00:00,a98135cd3dc5c2725c6f5af58fabb6eb,2020-01-15 06:30:00+00:00,,True
80,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,91104,West,4,1333.88,-291.38,2017-11-21,SILVER,barry.franz@example.com,2019-12-31 22:00:00+00:00,a5cdecb3122af2b345a06f853275273a,2019-12-31 22:00:00+00:00,,True
81,BF-11020,Barry Französisch,Corporate,United States,Arlington,Texas,76017,Central,8,2888.51,302.02,2017-10-17,GOLD,barry.franzosisch@example.com,2019-12-31 22:00:00+00:00,5ce4f135b12047dcb9da5f4f955ccd0e,2019-12-31 22:00:00+00:00,,True
82,BF-11080,Bart Folk,Consumer,United States,Baltimore,Maryland,21215,East,3,272.95,110.93,2017-12-05,BRONZE,bart.folk@example.com,2019-12-31 22:00:00+00:00,5807a1256b5f98326b7bc2e05093d689,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
963,BF-11080,Bart Folk,Consumer,United States,Baltimore,Maryland,21215,East,7,303.11,144.81,2020-01-15,BRONZE,bart.folk@example.com,2020-01-15 06:30:00+00:00,d64a61e46a117db06ed31c51a30d8268,2020-01-15 06:30:00+00:00,,True
